"Date","Site","EpisodeCase","SpecCollectedCase","FirstConfirmed"
2020-08-26,"MMSD-P7",2,4,4
2020-08-26,"MMSD-P8",6,4,4
2020-08-27,"MMSD-P11",6,7,6
2020-08-27,"MMSD-P18",6,12,11
2020-08-27,"MMSD-P2",53,34,10
2020-08-27,"MMSD-P7",8,9,6
2020-08-27,"MMSD-P8",8,8,1
2020-08-28,"MMSD-P11",3,4,8
2020-08-28,"MMSD-P18",4,5,5
2020-08-28,"MMSD-P2",45,22,13
2020-08-28,"MMSD-P7",1,1,3
2020-08-28,"MMSD-P8",7,6,8
2020-08-29,"MMSD-P11",7,6,3
2020-08-29,"MMSD-P18",8,7,5
2020-08-29,"MMSD-P2",39,17,21
2020-08-29,"MMSD-P8",6,5,4
2020-08-30,"MMSD-P11",2,NA,NA
2020-08-30,"MMSD-P18",4,1,2
2020-08-30,"MMSD-P2",57,6,4
2020-08-30,"MMSD-P8",4,1,NA
2020-08-31,"MMSD-P11",12,13,10
2020-08-31,"MMSD-P18",8,8,12
2020-08-31,"MMSD-P2",122,74,40
2020-08-31,"MMSD-P7",3,3,4
2020-08-31,"MMSD-P8",10,5,9
2020-09-01,"MMSD-P11",15,9,4
2020-09-01,"MMSD-P18",10,8,2
2020-09-01,"MMSD-P2",92,72,23
2020-09-01,"MMSD-P7",4,3,1
2020-09-01,"MMSD-P8",12,12,4
2020-09-02,"MMSD-P11",11,11,10
2020-09-02,"MMSD-P18",6,8,4
2020-09-02,"MMSD-P2",150,105,36
2020-09-02,"MMSD-P7",5,4,4
2020-09-02,"MMSD-P8",12,8,3
2020-09-03,"MMSD-P11",13,6,15
2020-09-03,"MMSD-P18",7,9,10
2020-09-03,"MMSD-P2",147,117,83
2020-09-03,"MMSD-P7",4,7,5
2020-09-03,"MMSD-P8",11,18,15
2020-09-04,"MMSD-P11",5,8,6
2020-09-04,"MMSD-P18",4,6,11
2020-09-04,"MMSD-P2",143,143,113
2020-09-04,"MMSD-P8",13,13,7
2020-09-05,"MMSD-P11",8,6,7
2020-09-05,"MMSD-P18",7,3,7
2020-09-05,"MMSD-P2",91,77,103
2020-09-05,"MMSD-P7",6,1,5
2020-09-05,"MMSD-P8",5,4,19
2020-09-06,"MMSD-P11",10,1,7
2020-09-06,"MMSD-P18",7,3,4
2020-09-06,"MMSD-P2",97,10,54
2020-09-06,"MMSD-P7",1,1,NA
2020-09-06,"MMSD-P8",7,1,4
2020-09-07,"MMSD-P11",12,1,4
2020-09-07,"MMSD-P18",5,2,7
2020-09-07,"MMSD-P2",99,16,148
2020-09-07,"MMSD-P7",3,1,2
2020-09-07,"MMSD-P8",6,1,11
2020-09-08,"MMSD-P11",10,19,1
