"Date","Site","FirstConfirmed"
2020-10-30,"Fox River WPCC",17
2020-10-30,"Grafton Water & Wastewater Utility",11
2020-10-30,"Green Bay MSD",102
2020-10-30,"Hartford WPCF",16
2020-10-30,"Hayward WPCF",3
2020-10-30,"Heart of the Valley MSD",40
2020-10-30,"Hudson WWTF",19
2020-10-30,"Janesville WW Utility",42
2020-10-30,"Kenosha WWTF",21
2020-10-30,"La Crosse WWTP",23
2020-10-30,"Lake Geneva WWTP",10
2020-10-30,"Lodi WWTF",1
2020-10-30,"Madison MSD WWTF",186
2020-10-30,"Manitowoc WWTF",21
2020-10-30,"Marinette Wastewater Utility",10
2020-10-30,"Marshfield WWTF",19
2020-10-30,"Mauston WWTF",2
2020-10-30,"Menomonie WWTF",13
2020-10-30,"Merrill WWTP",27
2020-10-30,"Milwaukee MSD Jones Island",340
2020-10-30,"Milwaukee MSD South Shore",598
2020-10-30,"Monroe WWTF",13
2020-10-30,"New Richmond WWTF",8
2020-10-30,"Oconomowoc WWTP",32
2020-10-30,"Oshkosh WWTP",73
2020-10-30,"Peshtigo WWTF",13
2020-10-30,"Platteville WWTF",11
2020-10-30,"Plymouth Utilities WWTF",12
2020-10-30,"Port Washington WWTP",11
2020-10-30,"Portage WWTF",6
2020-10-30,"Racine Wastewater Utility",173
2020-10-30,"Rhinelander WWTP",5
2020-10-30,"Rib Mountain MSD WWTF",51
2020-10-30,"River Falls Municipal Utility WWTF",9
2020-10-30,"Sheboygan WWTP",47
2020-10-30,"South Milwaukee WWTF",22
2020-10-30,"Sparta WWTF",10
2020-10-30,"Spencer WWTP",1
2020-10-30,"Stevens Point WWTF",25
2020-10-30,"Sturgeon Bay Utilities WWTF",10
2020-10-30,"Sun Prairie WWTF",19
2020-10-30,"Superior WWTP",13
2020-10-30,"Washburn WWTP",3
2020-10-30,"Watertown WWTP",15
2020-10-30,"Waukesha WWTP",67
2020-10-30,"Waupaca WWTF",14
2020-10-30,"Wausau Water Works WWTF",59
2020-10-30,"Whitewater WWTF",4
2020-10-30,"Wisconsin Rapids WWTF",9
2021-10-30,"Appleton WWTF",1
2021-10-30,"Ashland Sewage Utility",1
2021-10-30,"Baraboo WWTF",3
2021-10-30,"Beloit WWTF",5
2021-10-30,"Berlin WWTF",2
2021-10-30,"Cedarburg WWTF",8
2021-10-30,"Chippewa Falls WWTF",9
2021-10-30,"Columbus WWTF",2
2021-10-30,"Eau Claire WWTF",26
2021-10-30,"Grafton Water & Wastewater Utility",3
2021-10-30,"Hartford WPCF",4
2021-10-30,"Heart of the Valley MSD",2
2021-10-30,"Hudson WWTF",13
2021-10-30,"Janesville WW Utility",11
2021-10-30,"Kenosha WWTF",15
2021-10-30,"La Crosse WWTP",7
2021-10-30,"Madison MSD WWTF",41
2021-10-30,"Marshfield WWTF",11
2021-10-30,"Mauston WWTF",3
2021-10-30,"Menomonie WWTF",2
2021-10-30,"Milwaukee MSD Jones Island",8
2021-10-30,"Milwaukee MSD South Shore",22
2021-10-30,"Monroe WWTF",3
2021-10-30,"New Richmond WWTF",8
2021-10-30,"Oconomowoc WWTP",3
2021-10-30,"Oshkosh WWTP",20
2021-10-30,"Platteville WWTF",4
2021-10-30,"Port Washington WWTP",3
2021-10-30,"Portage WWTF",6
2021-10-30,"Racine Wastewater Utility",1
2021-10-30,"Rhinelander WWTP",2
2021-10-30,"Rib Mountain MSD WWTF",12
2021-10-30,"River Falls Municipal Utility WWTF",2
2021-10-30,"Sparta WWTF",7
2021-10-30,"Stevens Point WWTF",8
2021-10-30,"Sun Prairie WWTF",4
2021-10-30,"Superior WWTP",4
2021-10-30,"Viroqua WWTF",5
2021-10-30,"Wausau Water Works WWTF",6
2021-10-30,"Wisconsin Rapids WWTF",7
2020-10-31,"Algoma WWTF",3
2020-10-31,"Appleton WWTF",35
2020-10-31,"Baraboo WWTF",4
2020-10-31,"Beloit WWTF",36
2020-10-31,"Berlin WWTF",8
2020-10-31,"Black River Falls WWTF",2
2020-10-31,"Burlington WPCC",5
2020-10-31,"Cedarburg WWTF",3
2020-10-31,"Chippewa Falls WWTF",3
2020-10-31,"Clintonville Wastewater Utility",1
2020-10-31,"Columbus WWTF",4
2020-10-31,"De Pere WWTF",24
2020-10-31,"Eau Claire WWTF",73
2020-10-31,"Fox River WPCC",7
2020-10-31,"Grafton Water & Wastewater Utility",7
2020-10-31,"Green Bay MSD",63
2020-10-31,"Hartford WPCF",12
2020-10-31,"Hayward WPCF",1
2020-10-31,"Heart of the Valley MSD",28
2020-10-31,"Hudson WWTF",8
2020-10-31,"Janesville WW Utility",53
2020-10-31,"Kenosha WWTF",154
2020-10-31,"La Crosse WWTP",17
2020-10-31,"Lodi WWTF",1
2020-10-31,"Madison MSD WWTF",124
2020-10-31,"Manitowoc WWTF",29
2020-10-31,"Marinette Wastewater Utility",14
2020-10-31,"Marshfield WWTF",3
2020-10-31,"Mauston WWTF",4
2020-10-31,"Menomonie WWTF",4
2020-10-31,"Merrill WWTP",8
2020-10-31,"Milwaukee MSD Jones Island",292
2020-10-31,"Milwaukee MSD South Shore",389
2020-10-31,"Monroe WWTF",3
2020-10-31,"New Richmond WWTF",6
2020-10-31,"Oconomowoc WWTP",9
2020-10-31,"Oshkosh WWTP",29
2020-10-31,"Peshtigo WWTF",4
2020-10-31,"Platteville WWTF",3
2020-10-31,"Plymouth Utilities WWTF",14
2020-10-31,"Port Washington WWTP",4
2020-10-31,"Portage WWTF",6
2020-10-31,"Racine Wastewater Utility",43
2020-10-31,"Rhinelander WWTP",4
2020-10-31,"Rib Mountain MSD WWTF",42
2020-10-31,"River Falls Municipal Utility WWTF",17
2020-10-31,"Sheboygan WWTP",61
2020-10-31,"South Milwaukee WWTF",3
2020-10-31,"Sparta WWTF",5
2020-10-31,"Stevens Point WWTF",10
2020-10-31,"Sturgeon Bay Utilities WWTF",10
2020-10-31,"Sun Prairie WWTF",15
2020-10-31,"Viroqua WWTF",2
2020-10-31,"Washburn WWTP",1
2020-10-31,"Watertown WWTP",8
2020-10-31,"Waukesha WWTP",18
2020-10-31,"Waupaca WWTF",17
2020-10-31,"Wausau Water Works WWTF",38
2020-10-31,"Whitewater WWTF",1
2020-10-31,"Wisconsin Rapids WWTF",3
2021-10-31,"Appleton WWTF",36
2021-10-31,"Ashland Sewage Utility",1
2021-10-31,"Baraboo WWTF",12
2021-10-31,"Beloit WWTF",13
2021-10-31,"Berlin WWTF",1
2021-10-31,"De Pere WWTF",10
2021-10-31,"Eau Claire WWTF",1
2021-10-31,"Grafton Water & Wastewater Utility",3
2021-10-31,"Hartford WPCF",2
2021-10-31,"Hayward WPCF",2
2021-10-31,"Heart of the Valley MSD",20
2021-10-31,"Hudson WWTF",7
2021-10-31,"Janesville WW Utility",20
2021-10-31,"La Crosse WWTP",10
2021-10-31,"Madison MSD WWTF",35
2021-10-31,"Manitowoc WWTF",8
2021-10-31,"Marshfield WWTF",7
2021-10-31,"Menomonie WWTF",6
2021-10-31,"Merrill WWTP",2
2021-10-31,"Milwaukee MSD Jones Island",112
2021-10-31,"Milwaukee MSD South Shore",90
2021-10-31,"Monroe WWTF",8
2021-10-31,"New Richmond WWTF",3
2021-10-31,"Oconomowoc WWTP",3
2021-10-31,"Oshkosh WWTP",21
2021-10-31,"Port Washington WWTP",5
2021-10-31,"Portage WWTF",2
2021-10-31,"Rhinelander WWTP",5
2021-10-31,"Rib Mountain MSD WWTF",21
2021-10-31,"River Falls Municipal Utility WWTF",3
2021-10-31,"Sheboygan WWTP",1
2021-10-31,"Sparta WWTF",2
2021-10-31,"Spooner WWTP",3
2021-10-31,"Stevens Point WWTF",5
2021-10-31,"Sun Prairie WWTF",4
2021-10-31,"Superior WWTP",6
2021-10-31,"Viroqua WWTF",1
2021-10-31,"Wausau Water Works WWTF",21
2021-10-31,"Wisconsin Rapids WWTF",2
2020-10-04,"Appleton WWTF",47
2020-10-04,"Ashland Sewage Utility",3
2020-10-04,"Beloit WWTF",24
2020-10-04,"Berlin WWTF",9
2020-10-04,"Cedarburg WWTF",1
2020-10-04,"Chippewa Falls WWTF",2
2020-10-04,"Clintonville Wastewater Utility",3
2020-10-04,"Columbus WWTF",2
2020-10-04,"De Pere WWTF",6
2020-10-04,"Eau Claire WWTF",19
2020-10-04,"Fox River WPCC",7
2020-10-04,"Grafton Water & Wastewater Utility",2
2020-10-04,"Green Bay MSD",21
2020-10-04,"Heart of the Valley MSD",57
2020-10-04,"Hudson WWTF",6
2020-10-04,"Janesville WW Utility",22
2020-10-04,"Kenosha WWTF",33
2020-10-04,"La Crosse WWTP",15
2020-10-04,"Lake Geneva WWTP",2
2020-10-04,"Madison MSD WWTF",41
2020-10-04,"Manitowoc WWTF",11
2020-10-04,"Marinette Wastewater Utility",2
2020-10-04,"Marshfield WWTF",4
2020-10-04,"Mauston WWTF",2
2020-10-04,"Menomonie WWTF",4
2020-10-04,"Merrill WWTP",1
2020-10-04,"Milwaukee MSD Jones Island",47
2020-10-04,"Milwaukee MSD South Shore",75
2020-10-04,"Monroe WWTF",6
2020-10-04,"New Richmond WWTF",2
2020-10-04,"Oconomowoc WWTP",1
2020-10-04,"Oshkosh WWTP",212
2020-10-04,"Peshtigo WWTF",1
2020-10-04,"Platteville WWTF",7
2020-10-04,"Plymouth Utilities WWTF",1
2020-10-04,"Port Washington WWTP",1
2020-10-04,"Portage WWTF",6
2020-10-04,"Racine Wastewater Utility",8
2020-10-04,"Rhinelander WWTP",5
2020-10-04,"Rib Lake WWTF",1
2020-10-04,"Rib Mountain MSD WWTF",18
2020-10-04,"River Falls Municipal Utility WWTF",3
2020-10-04,"Sheboygan WWTP",3
2020-10-04,"Sparta WWTF",4
2020-10-04,"Spooner WWTP",1
2020-10-04,"Stevens Point WWTF",7
2020-10-04,"Sturgeon Bay Utilities WWTF",2
2020-10-04,"Sun Prairie WWTF",1
2020-10-04,"Superior WWTP",2
2020-10-04,"Viroqua WWTF",2
2020-10-04,"Watertown WWTP",8
2020-10-04,"Waukesha WWTP",17
2020-10-04,"Waupaca WWTF",8
2020-10-04,"Wausau Water Works WWTF",16
2020-10-04,"Whitewater WWTF",3
2020-10-04,"Wisconsin Rapids WWTF",7
2021-10-04,"Algoma WWTF",7
2021-10-04,"Appleton WWTF",20
2021-10-04,"Ashland Sewage Utility",1
2021-10-04,"Beloit WWTF",7
2021-10-04,"Berlin WWTF",12
2021-10-04,"Burlington WPCC",3
2021-10-04,"Cedarburg WWTF",1
2021-10-04,"Chippewa Falls WWTF",6
2021-10-04,"Clintonville Wastewater Utility",2
2021-10-04,"De Pere WWTF",32
2021-10-04,"Eau Claire WWTF",62
2021-10-04,"Fox River WPCC",20
2021-10-04,"Grafton Water & Wastewater Utility",1
2021-10-04,"Green Bay MSD",151
2021-10-04,"Hartford WPCF",12
2021-10-04,"Hayward WPCF",2
2021-10-04,"Heart of the Valley MSD",6
2021-10-04,"Hudson WWTF",9
2021-10-04,"Janesville WW Utility",8
2021-10-04,"Kenosha WWTF",43
2021-10-04,"La Crosse WWTP",26
2021-10-04,"Lac du Flambeau Tribal Water & Sewer",4
2021-10-04,"Lake Geneva WWTP",2
2021-10-04,"Madison MSD WWTF",166
2021-10-04,"Manitowoc WWTF",5
2021-10-04,"Marinette Wastewater Utility",21
2021-10-04,"Marshfield WWTF",4
2021-10-04,"Mauston WWTF",2
2021-10-04,"Menomonie WWTF",9
2021-10-04,"Merrill WWTP",7
2021-10-04,"Milwaukee MSD Jones Island",432
2021-10-04,"Milwaukee MSD South Shore",506
2021-10-04,"Monroe WWTF",4
2021-10-04,"New Richmond WWTF",3
2021-10-04,"Oconomowoc WWTP",20
2021-10-04,"Oshkosh WWTP",24
2021-10-04,"Peshtigo WWTF",7
2021-10-04,"Platteville WWTF",4
2021-10-04,"Plymouth Utilities WWTF",9
2021-10-04,"Port Washington WWTP",7
2021-10-04,"Racine Wastewater Utility",58
2021-10-04,"Red Cliff WWTP",1
2021-10-04,"Rhinelander WWTP",5
2021-10-04,"Rib Lake WWTF",2
2021-10-04,"Rib Mountain MSD WWTF",24
2021-10-04,"River Falls Municipal Utility WWTF",7
2021-10-04,"Sheboygan WWTP",52
2021-10-04,"South Milwaukee WWTF",9
2021-10-04,"Sparta WWTF",3
2021-10-04,"Spencer WWTP",2
2021-10-04,"Spooner WWTP",1
2021-10-04,"Stevens Point WWTF",9
2021-10-04,"Sturgeon Bay Utilities WWTF",3
2021-10-04,"Sun Prairie WWTF",20
2021-10-04,"Superior WWTP",4
2021-10-04,"Viroqua WWTF",3
2021-10-04,"Washburn WWTP",1
2021-10-04,"Watertown WWTP",15
2021-10-04,"Waukesha WWTP",74
2021-10-04,"Waupaca WWTF",6
2021-10-04,"Wausau Water Works WWTF",26
2021-10-04,"Whitewater WWTF",2
2021-10-04,"Wisconsin Rapids WWTF",5
2020-10-05,"Appleton WWTF",40
2020-10-05,"Ashland Sewage Utility",1
2020-10-05,"Baraboo WWTF",23
2020-10-05,"Beloit WWTF",5
2020-10-05,"Berlin WWTF",3
2020-10-05,"Burlington WPCC",1
2020-10-05,"Cedarburg WWTF",1
2020-10-05,"Chippewa Falls WWTF",5
2020-10-05,"Clintonville Wastewater Utility",5
2020-10-05,"Columbus WWTF",2
2020-10-05,"De Pere WWTF",40
2020-10-05,"Eau Claire WWTF",25
2020-10-05,"Fox River WPCC",4
2020-10-05,"Green Bay MSD",68
2020-10-05,"Hartford WPCF",9
2020-10-05,"Heart of the Valley MSD",38
2020-10-05,"Hudson WWTF",8
2020-10-05,"Janesville WW Utility",9
2020-10-05,"Kenosha WWTF",21
2020-10-05,"La Crosse WWTP",11
2020-10-05,"Madison MSD WWTF",116
2020-10-05,"Manitowoc WWTF",5
2020-10-05,"Marinette Wastewater Utility",2
2020-10-05,"Marshfield WWTF",2
2020-10-05,"Mauston WWTF",2
2020-10-05,"Menomonie WWTF",9
2020-10-05,"Merrill WWTP",3
2020-10-05,"Milwaukee MSD Jones Island",83
2020-10-05,"Milwaukee MSD South Shore",165
2020-10-05,"Monroe WWTF",4
2020-10-05,"Oconomowoc WWTP",7
2020-10-05,"Oshkosh WWTP",68
2020-10-05,"Plymouth Utilities WWTF",2
2020-10-05,"Port Washington WWTP",4
2020-10-05,"Portage WWTF",4
2020-10-05,"Racine Wastewater Utility",37
2020-10-05,"Rhinelander WWTP",6
2020-10-05,"Rib Lake WWTF",1
2020-10-05,"Rib Mountain MSD WWTF",30
2020-10-05,"River Falls Municipal Utility WWTF",4
2020-10-05,"Sheboygan WWTP",14
2020-10-05,"South Milwaukee WWTF",6
2020-10-05,"Sparta WWTF",7
2020-10-05,"Spencer WWTP",2
2020-10-05,"Stevens Point WWTF",4
2020-10-05,"Sturgeon Bay Utilities WWTF",1
2020-10-05,"Sun Prairie WWTF",14
2020-10-05,"Superior WWTP",2
2020-10-05,"Viroqua WWTF",3
2020-10-05,"Watertown WWTP",13
2020-10-05,"Waukesha WWTP",10
2020-10-05,"Waupaca WWTF",2
2020-10-05,"Wausau Water Works WWTF",38
2020-10-05,"Whitewater WWTF",1
2020-10-05,"Wisconsin Rapids WWTF",2
2021-10-05,"Algoma WWTF",2
2021-10-05,"Appleton WWTF",27
2021-10-05,"Baraboo WWTF",5
2021-10-05,"Beloit WWTF",20
2021-10-05,"Berlin WWTF",8
2021-10-05,"Black River Falls WWTF",2
2021-10-05,"Burlington WPCC",6
2021-10-05,"Cedarburg WWTF",4
2021-10-05,"Chippewa Falls WWTF",15
2021-10-05,"Clintonville Wastewater Utility",6
2021-10-05,"Columbus WWTF",4
2021-10-05,"De Pere WWTF",24
2021-10-05,"Eau Claire WWTF",50
2021-10-05,"Fox River WPCC",10
2021-10-05,"Grafton Water & Wastewater Utility",3
2021-10-05,"Green Bay MSD",98
2021-10-05,"Hartford WPCF",14
2021-10-05,"Hayward WPCF",2
2021-10-05,"Heart of the Valley MSD",24
2021-10-05,"Hudson WWTF",7
2021-10-05,"Janesville WW Utility",20
2021-10-05,"Kenosha WWTF",45
2021-10-05,"La Crosse WWTP",9
2021-10-05,"Lac du Flambeau Tribal Water & Sewer",3
2021-10-05,"Lake Geneva WWTP",1
2021-10-05,"Lodi WWTF",1
2021-10-05,"Madison MSD WWTF",106
2021-10-05,"Manitowoc WWTF",14
2021-10-05,"Marinette Wastewater Utility",11
2021-10-05,"Marshfield WWTF",7
2021-10-05,"Mauston WWTF",1
2021-10-05,"Menomonie WWTF",12
2021-10-05,"Merrill WWTP",7
2021-10-05,"Milwaukee MSD Jones Island",173
2021-10-05,"Milwaukee MSD South Shore",279
2021-10-05,"Monroe WWTF",15
2021-10-05,"New Richmond WWTF",4
2021-10-05,"Oconomowoc WWTP",11
2021-10-05,"Oshkosh WWTP",24
2021-10-05,"Peshtigo WWTF",2
2021-10-05,"Platteville WWTF",3
2021-10-05,"Plymouth Utilities WWTF",6
2021-10-05,"Port Washington WWTP",8
2021-10-05,"Portage WWTF",4
2021-10-05,"Racine Wastewater Utility",43
2021-10-05,"Rhinelander WWTP",12
2021-10-05,"Rib Lake WWTF",1
2021-10-05,"Rib Mountain MSD WWTF",25
2021-10-05,"River Falls Municipal Utility WWTF",3
2021-10-05,"Sheboygan WWTP",18
2021-10-05,"South Milwaukee WWTF",6
2021-10-05,"Sparta WWTF",9
2021-10-05,"Spencer WWTP",1
2021-10-05,"Spooner WWTP",1
2021-10-05,"Stevens Point WWTF",11
2021-10-05,"Sturgeon Bay Utilities WWTF",9
2021-10-05,"Sun Prairie WWTF",18
2021-10-05,"Superior WWTP",11
2021-10-05,"Viroqua WWTF",2
2021-10-05,"Watertown WWTP",7
2021-10-05,"Waukesha WWTP",37
2021-10-05,"Waupaca WWTF",2
2021-10-05,"Wausau Water Works WWTF",18
2021-10-05,"Whitewater WWTF",5
2021-10-05,"Wisconsin Rapids WWTF",19
2020-10-06,"Appleton WWTF",41
2020-10-06,"Ashland Sewage Utility",1
2020-10-06,"Baraboo WWTF",3
2020-10-06,"Beloit WWTF",15
2020-10-06,"Berlin WWTF",4
2020-10-06,"Burlington WPCC",3
2020-10-06,"Cedarburg WWTF",5
2020-10-06,"Chippewa Falls WWTF",1
2020-10-06,"Clintonville Wastewater Utility",4
2020-10-06,"Columbus WWTF",3
2020-10-06,"De Pere WWTF",23
2020-10-06,"Eau Claire WWTF",17
2020-10-06,"Fox River WPCC",8
2020-10-06,"Grafton Water & Wastewater Utility",6
2020-10-06,"Green Bay MSD",149
2020-10-06,"Hartford WPCF",6
2020-10-06,"Heart of the Valley MSD",45
2020-10-06,"Hudson WWTF",8
2020-10-06,"Janesville WW Utility",24
2020-10-06,"Kenosha WWTF",30
2020-10-06,"La Crosse WWTP",34
2020-10-06,"Lake Geneva WWTP",2
2020-10-06,"Madison MSD WWTF",50
2020-10-06,"Manitowoc WWTF",19
2020-10-06,"Marinette Wastewater Utility",4
2020-10-06,"Marshfield WWTF",8
2020-10-06,"Mauston WWTF",2
2020-10-06,"Menomonie WWTF",1
2020-10-06,"Merrill WWTP",6
2020-10-06,"Milwaukee MSD Jones Island",107
2020-10-06,"Milwaukee MSD South Shore",117
2020-10-06,"Monroe WWTF",6
2020-10-06,"Oconomowoc WWTP",5
2020-10-06,"Oshkosh WWTP",84
2020-10-06,"Platteville WWTF",7
2020-10-06,"Plymouth Utilities WWTF",6
2020-10-06,"Port Washington WWTP",2
2020-10-06,"Portage WWTF",47
2020-10-06,"Racine Wastewater Utility",36
2020-10-06,"Red Cliff WWTP",1
2020-10-06,"Rhinelander WWTP",3
2020-10-06,"Rib Lake WWTF",4
2020-10-06,"Rib Mountain MSD WWTF",25
2020-10-06,"River Falls Municipal Utility WWTF",6
2020-10-06,"Sheboygan WWTP",15
2020-10-06,"South Milwaukee WWTF",5
2020-10-06,"Sparta WWTF",4
2020-10-06,"Spencer WWTP",1
2020-10-06,"Stevens Point WWTF",12
2020-10-06,"Sturgeon Bay Utilities WWTF",3
2020-10-06,"Sun Prairie WWTF",5
2020-10-06,"Superior WWTP",3
2020-10-06,"Viroqua WWTF",2
2020-10-06,"Watertown WWTP",11
2020-10-06,"Waukesha WWTP",18
2020-10-06,"Waupaca WWTF",6
2020-10-06,"Wausau Water Works WWTF",14
2020-10-06,"Whitewater WWTF",5
2020-10-06,"Wisconsin Rapids WWTF",3
2021-10-06,"Algoma WWTF",9
2021-10-06,"Appleton WWTF",42
2021-10-06,"Ashland Sewage Utility",2
2021-10-06,"Baraboo WWTF",5
2021-10-06,"Beloit WWTF",11
2021-10-06,"Berlin WWTF",4
2021-10-06,"Black River Falls WWTF",2
2021-10-06,"Burlington WPCC",6
2021-10-06,"Cedarburg WWTF",8
2021-10-06,"Chippewa Falls WWTF",15
2021-10-06,"Clintonville Wastewater Utility",1
2021-10-06,"Columbus WWTF",5
2021-10-06,"De Pere WWTF",39
2021-10-06,"Eau Claire WWTF",45
2021-10-06,"Fox River WPCC",9
2021-10-06,"Grafton Water & Wastewater Utility",5
2021-10-06,"Green Bay MSD",119
2021-10-06,"Hartford WPCF",5
2021-10-06,"Heart of the Valley MSD",22
2021-10-06,"Hudson WWTF",12
2021-10-06,"Janesville WW Utility",16
2021-10-06,"Kenosha WWTF",59
2021-10-06,"La Crosse WWTP",18
2021-10-06,"Lac du Flambeau Tribal Water & Sewer",3
2021-10-06,"Lodi WWTF",1
2021-10-06,"Madison MSD WWTF",69
2021-10-06,"Manitowoc WWTF",19
2021-10-06,"Marinette Wastewater Utility",6
2021-10-06,"Marshfield WWTF",6
2021-10-06,"Mauston WWTF",2
2021-10-06,"Menomonie WWTF",17
2021-10-06,"Merrill WWTP",16
2021-10-06,"Milwaukee MSD Jones Island",96
2021-10-06,"Milwaukee MSD South Shore",196
2021-10-06,"Monroe WWTF",1
2021-10-06,"New Richmond WWTF",8
2021-10-06,"Oconomowoc WWTP",5
2021-10-06,"Oshkosh WWTP",26
2021-10-06,"Peshtigo WWTF",2
2021-10-06,"Platteville WWTF",3
2021-10-06,"Plymouth Utilities WWTF",2
2021-10-06,"Port Washington WWTP",2
2021-10-06,"Portage WWTF",8
2021-10-06,"Racine Wastewater Utility",46
2021-10-06,"Rhinelander WWTP",14
2021-10-06,"Rib Lake WWTF",2
2021-10-06,"Rib Mountain MSD WWTF",27
2021-10-06,"River Falls Municipal Utility WWTF",10
2021-10-06,"Sheboygan WWTP",20
2021-10-06,"South Milwaukee WWTF",1
2021-10-06,"Sparta WWTF",4
2021-10-06,"Spencer WWTP",4
2021-10-06,"Spooner WWTP",3
2021-10-06,"Stevens Point WWTF",8
2021-10-06,"Sturgeon Bay Utilities WWTF",12
2021-10-06,"Sun Prairie WWTF",16
2021-10-06,"Superior WWTP",7
2021-10-06,"Viroqua WWTF",1
2021-10-06,"Watertown WWTP",7
2021-10-06,"Waukesha WWTP",22
2021-10-06,"Waupaca WWTF",5
2021-10-06,"Wausau Water Works WWTF",32
2021-10-06,"Whitewater WWTF",7
2021-10-06,"Wisconsin Rapids WWTF",8
2020-10-07,"Appleton WWTF",52
2020-10-07,"Ashland Sewage Utility",1
2020-10-07,"Baraboo WWTF",6
2020-10-07,"Beloit WWTF",27
2020-10-07,"Berlin WWTF",8
2020-10-07,"Black River Falls WWTF",1
2020-10-07,"Burlington WPCC",2
2020-10-07,"Cedarburg WWTF",4
2020-10-07,"Chippewa Falls WWTF",12
2020-10-07,"Clintonville Wastewater Utility",9
2020-10-07,"Columbus WWTF",6
2020-10-07,"De Pere WWTF",56
2020-10-07,"Eau Claire WWTF",28
2020-10-07,"Fox River WPCC",11
2020-10-07,"Grafton Water & Wastewater Utility",2
2020-10-07,"Green Bay MSD",196
2020-10-07,"Hartford WPCF",3
2020-10-07,"Heart of the Valley MSD",64
2020-10-07,"Hudson WWTF",5
2020-10-07,"Janesville WW Utility",20
2020-10-07,"Kenosha WWTF",45
2020-10-07,"La Crosse WWTP",27
2020-10-07,"Lac du Flambeau Tribal Water & Sewer",1
2020-10-07,"Lake Geneva WWTP",3
2020-10-07,"Lodi WWTF",4
2020-10-07,"Madison MSD WWTF",76
2020-10-07,"Manitowoc WWTF",20
2020-10-07,"Marinette Wastewater Utility",3
2020-10-07,"Marshfield WWTF",10
2020-10-07,"Mauston WWTF",5
2020-10-07,"Menomonie WWTF",8
2020-10-07,"Merrill WWTP",3
2020-10-07,"Milwaukee MSD Jones Island",203
2020-10-07,"Milwaukee MSD South Shore",235
2020-10-07,"Monroe WWTF",4
2020-10-07,"New Richmond WWTF",4
2020-10-07,"Oconomowoc WWTP",12
2020-10-07,"Oshkosh WWTP",97
2020-10-07,"Peshtigo WWTF",2
2020-10-07,"Platteville WWTF",5
2020-10-07,"Plymouth Utilities WWTF",2
2020-10-07,"Port Washington WWTP",5
2020-10-07,"Portage WWTF",7
2020-10-07,"Racine Wastewater Utility",63
2020-10-07,"Rhinelander WWTP",6
2020-10-07,"Rib Mountain MSD WWTF",24
2020-10-07,"River Falls Municipal Utility WWTF",3
2020-10-07,"Sheboygan WWTP",16
2020-10-07,"South Milwaukee WWTF",13
2020-10-07,"Sparta WWTF",4
2020-10-07,"Stevens Point WWTF",7
2020-10-07,"Sturgeon Bay Utilities WWTF",4
2020-10-07,"Sun Prairie WWTF",8
2020-10-07,"Superior WWTP",6
2020-10-07,"Viroqua WWTF",1
2020-10-07,"Watertown WWTP",14
2020-10-07,"Waukesha WWTP",48
2020-10-07,"Waupaca WWTF",4
2020-10-07,"Wausau Water Works WWTF",38
2020-10-07,"Whitewater WWTF",3
2020-10-07,"Wisconsin Rapids WWTF",3
2021-10-07,"Algoma WWTF",2
2021-10-07,"Appleton WWTF",24
2021-10-07,"Ashland Sewage Utility",3
2021-10-07,"Baraboo WWTF",2
2021-10-07,"Beloit WWTF",17
2021-10-07,"Berlin WWTF",7
2021-10-07,"Black River Falls WWTF",4
2021-10-07,"Burlington WPCC",9
2021-10-07,"Cedarburg WWTF",7
2021-10-07,"Chippewa Falls WWTF",12
2021-10-07,"Clintonville Wastewater Utility",3
2021-10-07,"Columbus WWTF",2
2021-10-07,"De Pere WWTF",34
2021-10-07,"Eau Claire WWTF",36
2021-10-07,"Fox River WPCC",14
2021-10-07,"Grafton Water & Wastewater Utility",9
2021-10-07,"Green Bay MSD",131
2021-10-07,"Hartford WPCF",8
2021-10-07,"Hayward WPCF",1
2021-10-07,"Heart of the Valley MSD",17
2021-10-07,"Hudson WWTF",15
2021-10-07,"Janesville WW Utility",23
2021-10-07,"Kenosha WWTF",49
2021-10-07,"La Crosse WWTP",18
2021-10-07,"Lake Geneva WWTP",12
2021-10-07,"Madison MSD WWTF",110
2021-10-07,"Manitowoc WWTF",18
2021-10-07,"Marinette Wastewater Utility",8
2021-10-07,"Marshfield WWTF",10
2021-10-07,"Mauston WWTF",1
2021-10-07,"Menomonie WWTF",11
2021-10-07,"Merrill WWTP",7
2021-10-07,"Milwaukee MSD Jones Island",231
2021-10-07,"Milwaukee MSD South Shore",307
2021-10-07,"Monroe WWTF",5
2021-10-07,"New Richmond WWTF",2
2021-10-07,"Oconomowoc WWTP",15
2021-10-07,"Oshkosh WWTP",32
2021-10-07,"Peshtigo WWTF",5
2021-10-07,"Platteville WWTF",6
2021-10-07,"Plymouth Utilities WWTF",1
2021-10-07,"Port Washington WWTP",6
2021-10-07,"Portage WWTF",4
2021-10-07,"Racine Wastewater Utility",58
2021-10-07,"Rhinelander WWTP",2
2021-10-07,"Rib Lake WWTF",1
2021-10-07,"Rib Mountain MSD WWTF",33
2021-10-07,"River Falls Municipal Utility WWTF",6
2021-10-07,"Sheboygan WWTP",18
2021-10-07,"South Milwaukee WWTF",9
2021-10-07,"Sparta WWTF",2
2021-10-07,"Spencer WWTP",5
2021-10-07,"Spooner WWTP",2
2021-10-07,"Stevens Point WWTF",11
