"Date","Site","FirstConfirmed"
2022-01-10,"Green Bay MSD",440
2022-01-10,"Hartford WPCF",18
2022-01-10,"Hayward WPCF",2
2022-01-10,"Heart of the Valley MSD",126
2022-01-10,"Hudson WWTF",45
2022-01-10,"Janesville WW Utility",187
2022-01-10,"Kenosha WWTF",218
2022-01-10,"La Crosse WWTP",113
2022-01-10,"Lac du Flambeau Tribal Water & Sewer",4
2022-01-10,"Lake Geneva WWTP",1
2022-01-10,"Lodi WWTF",1
2022-01-10,"Madison MSD WWTF",445
2022-01-10,"Manitowoc WWTF",75
2022-01-10,"Marinette Wastewater Utility",51
2022-01-10,"Marshfield WWTF",54
2022-01-10,"Menomonie WWTF",27
2022-01-10,"Merrill WWTP",19
2022-01-10,"Milwaukee MSD Jones Island",679
2022-01-10,"Milwaukee MSD South Shore",1221
2022-01-10,"Monroe WWTF",17
2022-01-10,"New Richmond WWTF",23
2022-01-10,"Oconomowoc WWTP",17
2022-01-10,"Oshkosh WWTP",483
2022-01-10,"Peshtigo WWTF",21
2022-01-10,"Platteville WWTF",13
2022-01-10,"Plymouth Utilities WWTF",17
2022-01-10,"Port Washington WWTP",9
2022-01-10,"Portage WWTF",14
2022-01-10,"Racine Wastewater Utility",279
2022-01-10,"Rhinelander WWTP",14
2022-01-10,"Rib Lake WWTF",2
2022-01-10,"Rib Mountain MSD WWTF",116
2022-01-10,"River Falls Municipal Utility WWTF",20
2022-01-10,"Sheboygan WWTP",114
2022-01-10,"South Milwaukee WWTF",87
2022-01-10,"Sparta WWTF",13
2022-01-10,"Spencer WWTP",7
2022-01-10,"Spooner WWTP",1
2022-01-10,"Stevens Point WWTF",19
2022-01-10,"Sturgeon Bay Utilities WWTF",33
2022-01-10,"Sun Prairie WWTF",23
2022-01-10,"Superior WWTP",46
2022-01-10,"Viroqua WWTF",8
2022-01-10,"Washburn WWTP",3
2022-01-10,"Watertown WWTP",49
2022-01-10,"Waukesha WWTP",46
2022-01-10,"Waupaca WWTF",17
2022-01-10,"Wausau Water Works WWTF",99
2022-01-10,"Whitewater WWTF",2
