"Site","Sample ID","Date","Filter","Well","N1Ct","N1","N1LOD","N2CT","N2","N2LOD","PMMOVCT","PMMOV","BCoV","HF183CT","HF183","CrPCT","CrP","Notes","...20"
"Kenosha","Kenosha (M) rep 2",2021-01-25,"2","2","30.31","463751","N","31.41","173186","N","24.49","11569692","18.63","27.58","324067749","29.18","165470801",NA,NA
"Kenosha","Kenosha (M) rep 2",2021-01-25,"2","3","31.03","291283","N","30.83","251421","N","24.23","13881083","21.13","26.95","497464826","29.75","112142362",NA,NA
"Kenosha","Kenosha (M) rep 3",2021-01-25,"3","1","31.93","163414","N","32.67","77473","N","24.85","8989147","5.0199999999999996","27.42","362084947","30.1","88225881",NA,NA
"Kenosha","Kenosha (M) rep 3",2021-01-25,"3","2","31.75","183708","N","32.49","86656","N","24.53","11288242","6.17","27.8","278881989","30.5","67468717",NA,NA
"Kenosha","Kenosha (M) rep 3",2021-01-25,"3","3","33.450000000000003","61788","N","32.75","73703","N","24.59","10800539","6.51","27.32","387064071","30.2","82441133",NA,NA
"Kenosha","Kenosha (T) rep 1",2021-01-26,"1","1","31.31","244607","N","31.85","130546","N","24.23","13912109","5.71","26.89","517141456","29.77","110590483",NA,NA
"Kenosha","Kenosha (T) rep 1",2021-01-26,"1","2","31.25","252897","N","32.130000000000003","109372","N","23.76","19371120","6.41","27.08","453654540","31.09","45132828",NA,NA
"Kenosha","Kenosha (T) rep 1",2021-01-26,"1","3","31.87","169769","N","32.46","88555","N","24.06","15685810","8.25","27.06","460026740","29.05","180661473",NA,NA
"Kenosha","Kenosha (T) rep 2",2021-01-26,"2","1","32.409999999999997","120313","N","31.84","131677","N","24.23","13961909","4.5599999999999996","28.28","202169935","30.24","80077208",NA,NA
"Kenosha","Kenosha (T) rep 2",2021-01-26,"2","2","32.43","118742","N","33","62723","Y","24.1","15199721","4.3899999999999997","26.45","695389147","29.32","150475879",NA,NA
"Kenosha","Kenosha (T) rep 2",2021-01-26,"2","3","33.369999999999997","65131","N","31.52","161304","N","24.3","13242204","4.08","26.77","562987459","29.49","133837109",NA,NA
"Kenosha","Kenosha (T) rep 3",2021-01-26,"3","1","31.56","208067","N","31.53","160292","N","23.64","21049487","8.5500000000000007","26.93","502582606","29.89","101876029",NA,NA
"Kenosha","Kenosha (T) rep 3",2021-01-26,"3","2","31.75","183592","N","32.700000000000003","75854","N","24.02","16185371","10.49","27.31","390813114","29.15","168972235",NA,NA
"Kenosha","Kenosha (T) rep 3",2021-01-26,"3","3","31.62","200262","N","31.54","159072","N","23.83","18499173","13.76",NA,NA,"29.48","134576715","Omitted rep 3 HF183, weird amplification",NA
"Kenosha","Kenosha (W) rep 1",2021-01-27,"1","1","32.99","82990","N","32.21","103769","N","25.53","5545381","2.31","27.43","358609150","31.58","32221166",NA,NA
"Kenosha","Kenosha (W) rep 1",2021-01-27,"1","2","33.200000000000003","72648","N","33.43","47517","Y","25.84","4466602","2.34","27.38","372152119","30.93","50221488",NA,NA
"Kenosha","Kenosha (W) rep 1",2021-01-27,"1","3","33.92","45789","N","33.67","40880","Y","25.55","5482516","2.83","27.68","302524421","30.02","93121566",NA,NA
"Kenosha","Kenosha (W) rep 2",2021-01-27,"2","1","36.08","11398","Y","34.78","20101","Y","26.49","2828739","1.39","27.51","340495985","30.12","87097703",NA,NA
"Kenosha","Kenosha (W) rep 2",2021-01-27,"2","2","34.92","24099","Y","35.68","11319","Y","26.22","3407459","2.16","26.96","493728398","30.15","85595324",NA,NA
"Kenosha","Kenosha (W) rep 2",2021-01-27,"2","3","33.72","51776","N","34.94","18153","Y","26.61","2601260","2.2000000000000002",NA,NA,"30.46","69020405","(was UD, likely Lab Accident)",NA
"Kenosha","Kenosha (W) rep 3",2021-01-27,"3","1","34.770000000000003","26425","Y","34.99","17552","Y","26.24","3366372","2.2400000000000002","27.23","412421498","30.12","87261628",NA,NA
"Kenosha","Kenosha (W) rep 3",2021-01-27,"3","2","33.44","62136","N","34.369999999999997","26083","Y","26.15","3590498","2.64","26.94","501517925","30.09","88778555",NA,NA
"Kenosha","Kenosha (W) rep 3",2021-01-27,"3","3","34.97","23232","Y","34.9","18553","Y","26.29","3257964","2.3199999999999998",NA,NA,"30.07","89901240","(was UD, likely LA)",NA
"Platteville","Platteville (M) rep 1",2021-01-25,"1","1","34.909999999999997","24172","Y","35.15","15801","Y","24.77","9517481","4.2300000000000004","26.9","515831575","29.94","98293150",NA,NA
"Platteville","Platteville (M) rep 1",2021-01-25,"1","2","33.78","50061","N","34.43","25189","Y","24.93","8464210","3.66","26.78","558571407","29.09","176252652",NA,NA
"Platteville","Platteville (M) rep 1",2021-01-25,"1","3","33.49","60032","N","35.18","15526","Y","25.32","6442194","4.3600000000000003","26.78","555847694","29.36","146463551",NA,NA
"Platteville","Platteville (M) rep 2",2021-01-25,"2","1","34.979999999999997","23184","Y","33.049999999999997","60582","Y","21.55","92285531","12.93","26.01","937396241","28.93","196052826",NA,NA
"Platteville","Platteville (M) rep 2",2021-01-25,"2","2","33.56","57579","N","33.630000000000003","41994","Y","21.54","92959159","9.44","25.77","1100759228","29.23","159602117",NA,NA
"Platteville","Platteville (M) rep 2",2021-01-25,"2","3","33.17","74029","N","34.4","25677","Y","22.18","59296045","10.29","27.99","245290764","29.08","177354467",NA,NA
"Platteville","Platteville (M) rep 3",2021-01-25,"3","1","33.68","53346","N","33.159999999999997","56658","Y","24.2","14214499","6.71","26.44","701964268","29.06","178879363",NA,NA
"Platteville","Platteville (M) rep 3",2021-01-25,"3","2","33.99","43599","N","32.76","73229","N","23.99","16440750","7.74","26.16","850096800","29.27","155772629",NA,NA
"Platteville","Platteville (M) rep 3",2021-01-25,"3","3","33.5","59824","N","33.15","56747","Y","24.63","10505402","7.94","27.43","359864700","29.28","153889397",NA,NA
"Platteville","Platteville (T) rep 1",2021-01-26,"1","1","31.78","180976","N","31.5","164001","N","24.17","14528415","6.07","26.35","747846008","29.24","158747077",NA,NA
