Date	Site	Negative	Positive
02/09/2021	UW_S	238	1
02/09/2021	UW_D	242	2
02/08/2021	UW_S	232	3
02/08/2021	UW_D	387	3
02/07/2021	UW_S	9	0
02/07/2021	UW_D	13	0
02/06/2021	UW_S	14	1
02/06/2021	UW_D	19	0
02/05/2021	UW_S	201	5
02/05/2021	UW_D	282	0
02/04/2021	UW_S	90	2
02/04/2021	UW_D	192	1
02/03/2021	UW_S	275	5
02/03/2021	UW_D	113	1
02/02/2021	UW_S	245	6
02/02/2021	UW_D	200	3
02/01/2021	UW_S	230	7
02/01/2021	UW_D	318	5
01/31/2021	UW_S	9	0
01/31/2021	UW_D	12	0
01/30/2021	UW_S	11	1
01/30/2021	UW_D	18	0
01/29/2021	UW_S	131	0
01/29/2021	UW_D	170	0
01/28/2021	UW_S	82	0
01/28/2021	UW_D	107	0
01/27/2021	UW_S	47	0
01/27/2021	UW_D	69	0
01/26/2021	UW_S	91	0
01/26/2021	UW_D	112	2
01/25/2021	UW_S	181	0
01/25/2021	UW_D	233	0
01/24/2021	UW_S	15	0
01/24/2021	UW_D	15	0
01/23/2021	UW_S	0	0
01/23/2021	UW_D	0	0
01/22/2021	UW_S	0	0
01/22/2021	UW_D	6	0
01/21/2021	UW_S	0	0
01/21/2021	UW_D	15	0
01/20/2021	UW_S	0	0
01/20/2021	UW_D	4	0
01/19/2021	UW_S	0	0
01/19/2021	UW_D	19	0
01/18/2021	UW_S	0	0
01/18/2021	UW_D	1	0
01/17/2021	UW_S	0	0
01/17/2021	UW_D	0	0
01/16/2021	UW_S	0	0
01/16/2021	UW_D	0	0
01/15/2021	UW_S	0	0
01/15/2021	UW_D	3	0
01/14/2021	UW_S	0	0
01/14/2021	UW_D	12	0
01/13/2021	UW_S	0	0
01/13/2021	UW_D	7	0
01/12/2021	UW_S	0	0
01/12/2021	UW_D	6	0
01/11/2021	UW_S	0	0
01/11/2021	UW_D	8	0
