Date	Site	Negative	Positive
08/18/2020	UW_D	4	0
08/17/2020	UW_S	0	0
08/17/2020	UW_D	3	0
08/14/2020	UW_S	1	0
08/14/2020	UW_D	1	0
08/13/2020	UW_S	1	0
08/13/2020	UW_D	0	0
08/12/2020	UW_S	0	0
08/12/2020	UW_D	2	0
08/11/2020	UW_S	14	0
08/11/2020	UW_D	16	0
08/10/2020	UW_S	11	0
08/10/2020	UW_D	5	0
08/06/2020	UW_S	0	0
08/06/2020	UW_D	0	0
