"Date","Cases","Tests","Population","Site","Per_pos"
2020-03-01,0,0,127634,"MMSD-P8",NA
2020-03-02,0,0,127634,"MMSD-P8",NA
2020-03-03,0,0,127634,"MMSD-P8",NA
2020-03-04,0,2,127634,"MMSD-P8",0
2020-03-05,0,0,127634,"MMSD-P8",NA
2020-03-06,0,1,127634,"MMSD-P8",0
2020-03-07,0,0,127634,"MMSD-P8",NA
2020-03-08,0,1,127634,"MMSD-P8",0
2020-03-09,0,0,127634,"MMSD-P8",NA
2020-03-10,0,6,127634,"MMSD-P8",0
2020-03-11,0,5,127634,"MMSD-P8",0
2020-03-12,0,10,127634,"MMSD-P8",0
2020-03-13,1,22,127634,"MMSD-P8",4.54545454545455
2020-03-14,1,20,127634,"MMSD-P8",5
2020-03-15,1,34,127634,"MMSD-P8",2.94117647058824
2020-03-16,0,25,127634,"MMSD-P8",0
2020-03-17,5,73,127634,"MMSD-P8",6.84931506849315
2020-03-18,1,49,127634,"MMSD-P8",2.04081632653061
2020-03-19,2,73,127634,"MMSD-P8",2.73972602739726
2020-03-20,9,166,127634,"MMSD-P8",5.42168674698795
2020-03-21,3,80,127634,"MMSD-P8",3.75
2020-03-22,2,33,127634,"MMSD-P8",6.06060606060606
2020-03-23,0,27,127634,"MMSD-P8",0
2020-03-24,5,69,127634,"MMSD-P8",7.2463768115942
2020-03-25,8,77,127634,"MMSD-P8",10.3896103896104
2020-03-26,4,59,127634,"MMSD-P8",6.77966101694915
2020-03-27,6,92,127634,"MMSD-P8",6.52173913043478
2020-03-28,2,40,127634,"MMSD-P8",5
2020-03-29,5,47,127634,"MMSD-P8",10.6382978723404
2020-03-30,7,46,127634,"MMSD-P8",15.2173913043478
