"Date","Cases","Tests","Population","Site","Per_pos"
2021-06-15,3,11,127634,"MMSD-P8",27.2727272727273
2021-06-16,0,3,127634,"MMSD-P8",0
2021-06-17,2,137,127634,"MMSD-P8",1.45985401459854
2021-06-18,1,50,127634,"MMSD-P8",2
2021-06-19,1,61,127634,"MMSD-P8",1.63934426229508
2021-06-20,3,95,127634,"MMSD-P8",3.15789473684211
2021-06-21,0,37,127634,"MMSD-P8",0
2021-06-22,2,67,127634,"MMSD-P8",2.98507462686567
2021-06-23,1,86,127634,"MMSD-P8",1.16279069767442
2020-04-11,NA,NA,130799,"MMSD-P11",NA
2020-04-12,0,31,130799,"MMSD-P11",0
2020-04-13,0,32,130799,"MMSD-P11",0
2020-04-14,5,37,130799,"MMSD-P11",13.5135135135135
2020-04-15,0,31,130799,"MMSD-P11",0
2020-04-16,0,49,130799,"MMSD-P11",0
2020-04-17,0,38,130799,"MMSD-P11",0
2020-04-18,0,46,130799,"MMSD-P11",0
2020-04-19,0,54,130799,"MMSD-P11",0
2020-04-20,6,59,130799,"MMSD-P11",10.1694915254237
2020-04-21,6,38,130799,"MMSD-P11",15.7894736842105
2020-04-22,2,57,130799,"MMSD-P11",3.50877192982456
2020-04-23,0,102,130799,"MMSD-P11",0
2020-04-24,1,91,130799,"MMSD-P11",1.0989010989011
2020-04-25,1,80,130799,"MMSD-P11",1.25
2020-04-26,5,73,130799,"MMSD-P11",6.84931506849315
2020-04-27,1,67,130799,"MMSD-P11",1.49253731343284
2020-04-28,5,77,130799,"MMSD-P11",6.49350649350649
2020-04-29,1,107,130799,"MMSD-P11",0.934579439252336
2020-04-30,5,78,130799,"MMSD-P11",6.41025641025641
2020-05-01,0,99,130799,"MMSD-P11",0
2020-05-02,1,56,130799,"MMSD-P11",1.78571428571429
2020-05-03,2,74,130799,"MMSD-P11",2.7027027027027
2020-05-04,1,72,130799,"MMSD-P11",1.38888888888889
2020-05-05,1,110,130799,"MMSD-P11",0.909090909090909
2020-05-06,1,77,130799,"MMSD-P11",1.2987012987013
2020-05-07,1,145,130799,"MMSD-P11",0.689655172413793
2020-05-08,1,72,130799,"MMSD-P11",1.38888888888889
2020-05-09,3,89,130799,"MMSD-P11",3.37078651685393
2020-05-10,1,90,130799,"MMSD-P11",1.11111111111111
2020-05-11,1,81,130799,"MMSD-P11",1.23456790123457
2020-05-12,1,105,130799,"MMSD-P11",0.952380952380952
2020-05-13,1,83,130799,"MMSD-P11",1.20481927710843
2020-05-14,0,125,130799,"MMSD-P11",0
2020-05-15,2,315,130799,"MMSD-P11",0.634920634920635
2020-05-16,2,142,130799,"MMSD-P11",1.40845070422535
2020-05-17,9,143,130799,"MMSD-P11",6.29370629370629
2020-05-18,1,79,130799,"MMSD-P11",1.26582278481013
2020-05-19,1,95,130799,"MMSD-P11",1.05263157894737
2020-05-20,10,187,130799,"MMSD-P11",5.3475935828877
2020-05-21,1,363,130799,"MMSD-P11",0.275482093663912
2020-05-22,6,310,130799,"MMSD-P11",1.93548387096774
2020-05-23,1,401,130799,"MMSD-P11",0.249376558603491
