"","Date","Site","N1RankLeft","N1RankRight","N2RankLeft","N2RankRight"
"548",2021-08-05,"MMSD-P2",64,54,30,24
"549",2021-08-05,"MMSD-P18",48,18,49,19
"550",2021-08-05,"MMSD-P11",55,25,40,30
"551",2021-08-06,"Madison",247,248,181,224
"552",2021-08-08,"Madison",143,148,169,138
"553",2021-08-09,"Madison",243,127,255,174
"554",2021-08-09,"MMSD-P2",49,46,72,74
"555",2021-08-09,"MMSD-P7",71,76,71,71
"556",2021-08-09,"MMSD-P8",71,68,54,37
"557",2021-08-09,"MMSD-P11",76,56,65,56
"558",2021-08-09,"MMSD-P18",87,66,86,61
"559",2021-08-10,"Madison",264,290,219,187
"560",2021-08-11,"Madison",101,105,206,159
"561",2021-08-12,"Madison",286,107,234,143
"562",2021-08-12,"MMSD-P2",57,76,22,52
"563",2021-08-12,"MMSD-P7",26,9,26,13
"564",2021-08-12,"MMSD-P8",28,32,61,35
"565",2021-08-12,"MMSD-P11",45,65,39,48
"566",2021-08-12,"MMSD-P18",39,39,44,69
"567",2021-08-13,"Madison",284,257,250,191
"568",2021-08-15,"Madison",134,131,202,218
"569",2021-08-16,"Madison",260,303,175,285
"570",2021-08-16,"MMSD-P2",27,63,44,65
"571",2021-08-16,"MMSD-P7",93,87,84,73
"572",2021-08-16,"MMSD-P8",64,73,63,77
"573",2021-08-16,"MMSD-P11",36,74,47,69
"574",2021-08-16,"MMSD-P18",66,79,36,68
"575",2021-08-17,"Madison",88,245,108,251
"576",2021-08-18,"Madison",146,50,142,83
"577",2021-08-19,"Madison",341,198,310,246
"578",2021-08-19,"MMSD-P2",40,9,31,12
"579",2021-08-19,"MMSD-P7",15,47,24,74
"580",2021-08-19,"MMSD-P8",23,22,21,34
"581",2021-08-19,"MMSD-P11",27,22,26,25
"582",2021-08-19,"MMSD-P18",26,45,37,32
"583",2021-08-20,"Madison",193,294,147,126
"584",2021-08-22,"Madison",97,44,267,110
"585",2021-08-23,"MMSD-P2",94,81,84,72
"586",2021-08-23,"MMSD-P7",55,13,23,18
"587",2021-08-23,"MMSD-P8",74,57,64,20
"588",2021-08-23,"MMSD-P11",79,11,70,12
"589",2021-08-23,"MMSD-P18",60,71,73,79
"590",2021-08-23,"Madison",347,295,283,276
"591",2021-08-24,"Madison",96,325,117,311
"592",2021-08-25,"Madison",66,70,82,94
"593",2021-08-26,"MMSD-P2",22,80,24,61
"594",2021-08-26,"MMSD-P7",89,89,79,34
"595",2021-08-26,"MMSD-P8",39,75,78,79
"596",2021-08-26,"MMSD-P11",90,70,83,66
"597",2021-08-26,"MMSD-P18",34,30,26,33
"598",2021-08-26,"Madison",321,314,299,217
"599",2021-08-27,"Madison",77,119,176,216
"600",2021-08-29,"Madison",272,89,177,149
"601",2021-08-30,"Madison",302,317,244,273
"602",2021-08-30,"MMSD-P2",23,68,35,59
"603",2021-08-30,"MMSD-P7",13,74,63,76
"604",2021-08-30,"MMSD-P8",21,20,19,21
"605",2021-08-30,"MMSD-P11",31,87,29,74
"606",2021-08-30,"MMSD-P18",75,34,72,36
"607",2021-08-31,"Madison",74,265,120,207
"608",2021-09-01,"Madison",126,187,186,136
"609",2021-09-02,"Madison",204,25,257,37
"610",2021-09-02,"MMSD-P2",35,32,37,40
"611",2021-09-02,"MMSD-P7",28,32,21,49
"612",2021-09-02,"MMSD-P8",76,12,77,16
"613",2021-09-02,"MMSD-P11",14,15,21,28
"614",2021-09-02,"MMSD-P18",71,52,69,55
"615",2021-09-03,"Madison",366,341,356,334
"616",2021-09-05,"Madison",50,256,59,293
"617",2021-09-06,"Madison",135,307,100,294
"618",2021-09-06,"MMSD-P2",71,18,56,19
"619",2021-09-06,"MMSD-P7",70,61,48,63
"620",2021-09-06,"MMSD-P8",84,89,82,86
"621",2021-09-06,"MMSD-P11",86,19,67,18
"622",2021-09-06,"MMSD-P18",53,40,50,58
"623",2021-09-07,"Madison",84,24,99,24
"624",2021-09-08,"Madison",367,364,369,361
"625",2021-09-09,"Madison",27,138,32,281
"626",2021-09-09,"MMSD-P2",85,94,77,82
"627",2021-09-09,"MMSD-P7",41,6,34,7
"628",2021-09-09,"MMSD-P8",7,19,12,60
"629",2021-09-09,"MMSD-P11",82,88,77,84
"630",2021-09-09,"MMSD-P18",65,59,47,31
"631",2021-09-10,"Madison",253,111,112,95
"632",2021-09-12,"Madison",280,223,298,270
"633",2021-09-13,"Madison",168,40,123,58
"634",2021-09-13,"MMSD-P2",9,10,14,15
"635",2021-09-13,"MMSD-P7",96,95,90,89
"636",2021-09-13,"MMSD-P8",77,60,38,71
"637",2021-09-13,"MMSD-P11",13,16,11,13
"638",2021-09-13,"MMSD-P18",46,49,74,62
"639",2021-09-14,"Madison",351,346,335,345
"640",2021-09-15,"Madison",45,178,48,71
"641",2021-09-16,"Madison",213,53,322,85
"642",2021-09-16,"MMSD-P2",93,25,81,46
"643",2021-09-16,"MMSD-P7",7,10,8,9
"644",2021-09-16,"MMSD-P8",36,33,27,33
"645",2021-09-16,"MMSD-P11",85,85,82,78
"646",2021-09-16,"MMSD-P18",56,73,43,73
"647",2021-09-17,"Madison",338,268,308,271
"648",2021-09-19,"Madison",123,41,122,42
"649",2021-09-20,"Madison",350,336,351,351
"650",2021-09-20,"MMSD-P18",32,20,32,49
"651",2021-09-20,"MMSD-P11",16,40,17,58
"652",2021-09-20,"MMSD-P8",63,72,65,25
"653",2021-09-20,"MMSD-P7",92,14,88,70
"654",2021-09-20,"MMSD-P2",78,97,50,83
"655",2021-09-21,"Madison",55,348,42,329
"656",2021-09-22,"Madison",43,42,64,41
"657",2021-09-23,"Madison",349,220,352,129
"658",2021-09-23,"MMSD-P2",6,13,13,25
"659",2021-09-23,"MMSD-P7",88,92,27,88
"660",2021-09-23,"MMSD-P8",24,15,73,58
"661",2021-09-23,"MMSD-P11",61,59,37,39
"662",2021-09-23,"MMSD-P18",85,46,56,27
"663",2021-09-24,"Madison",171,205,264,267
"664",2021-09-26,"Madison",186,177,126,237
"665",2021-09-27,"Madison",214,39,156,73
"666",2021-09-27,"MMSD-P2",90,48,71,11
"667",2021-09-27,"MMSD-P7",10,77,9,38
"668",2021-09-27,"MMSD-P8",81,23,40,11
"669",2021-09-27,"MMSD-P11",42,7,56,8
"670",2021-09-27,"MMSD-P18",59,26,78,16
"671",2021-09-28,"Madison",352,96,320,114
"672",2021-09-29,"Madison",295,320,279,297
"673",2021-09-30,"Madison",71,362,96,354
"674",2021-09-30,"MMSD-P2",55,84,85,90
"675",2021-09-30,"MMSD-P7",25,84,59,85
"676",2021-09-30,"MMSD-P8",73,83,87,92
"677",2021-09-30,"MMSD-P11",94,92,87,88
"678",2021-09-30,"MMSD-P18",79,95,89,95
"679",2021-10-01,"Madison",29,232,39,254
"680",2021-10-03,"Madison",159,77,139,52
"681",2021-10-04,"MMSD-P18",10,12,10,17
"682",2021-10-04,"MMSD-P11",9,28,7,35
"683",2021-10-04,"MMSD-P8",13,26,6,46
"684",2021-10-04,"MMSD-P7",18,20,12,15
"685",2021-10-04,"MMSD-P2",19,31,6,47
"686",2021-10-04,"Madison",314,322,341,337
"687",2021-10-05,"Madison",69,78,56,92
"688",2021-10-06,"Madison",313,129,301,264
"689",2021-10-07,"Madison",262,193,129,81
"690",2021-10-07,"MMSD-P2",72,62,49,27
"691",2021-10-07,"MMSD-P7",82,25,82,22
"692",2021-10-07,"MMSD-P8",70,42,52,19
"693",2021-10-07,"MMSD-P11",73,26,60,19
"694",2021-10-07,"MMSD-P18",93,64,88,35
"695",2021-10-08,"Madison",198,266,312,184
"696",2021-10-10,"Madison",125,36,209,55
"697",2021-10-11,"Madison",355,335,338,317
"698",2021-10-11,"MMSD-P2",41,26,69,17
"699",2021-10-11,"MMSD-P7",77,86,75,83
"700",2021-10-11,"MMSD-P8",54,35,79,23
"701",2021-10-11,"MMSD-P11",75,45,76,24
"702",2021-10-11,"MMSD-P18",41,72,70,80
"703",2021-10-12,"Madison",56,306,76,301
"704",2021-10-13,"Madison",85,216,92,125
"705",2021-10-14,"Madison",175,31,268,91
"706",2021-10-14,"MMSD-P18",33,22,25,53
"707",2021-10-14,"MMSD-P11",56,33,71,79
"708",2021-10-14,"MMSD-P8",61,52,75,63
"709",2021-10-14,"MMSD-P7",16,12,14,17
"710",2021-10-14,"MMSD-P2",77,82,79,87
"711",2021-10-15,"Madison",360,16,302,26
"712",2021-10-17,"Madison",375,379,367,376
"713",2021-10-18,"Madison",12,63,17,36
"714",2021-10-18,"MMSD-P2",21,61,9,57
"715",2021-10-18,"MMSD-P7",90,90,80,80
"716",2021-10-18,"MMSD-P8",44,87,35,89
"717",2021-10-18,"MMSD-P11",68,83,16,60
"718",2021-10-18,"MMSD-P18",83,69,52,71
"719",2021-10-19,"Madison",328,355,357,358
"720",2021-10-20,"Madison",36,153,35,196
"721",2021-10-21,"MMSD-P2",42,88,39,75
"722",2021-10-21,"MMSD-P7",12,37,17,32
"723",2021-10-21,"MMSD-P8",9,76,9,76
"724",2021-10-21,"MMSD-P11",18,27,35,65
"725",2021-10-21,"MMSD-P18",36,75,34,70
"726",2021-10-21,"Madison",238,132,197,208
"727",2021-10-22,"Madison",259,97,185,121
"728",2021-10-24,"Madison",294,292,272,144
"729",2021-10-25,"Madison",99,263,249,307
"730",2021-10-25,"MMSD-P2",15,16,21,32
"731",2021-10-25,"MMSD-P7",65,38,65,37
"732",2021-10-25,"MMSD-P8",20,17,22,24
"733",2021-10-25,"MMSD-P11",74,80,30,72
"734",2021-10-25,"MMSD-P18",30,41,35,41
"735",2021-10-26,"Madison",128,175,86,123
"736",2021-10-27,"Madison",216,103,270,154
"737",2021-10-28,"MMSD-P2",87,34,64,23
"738",2021-10-28,"MMSD-P7",64,16,60,23
"739",2021-10-28,"MMSD-P8",79,21,74,12
"740",2021-10-28,"MMSD-P11",21,21,23,23
"741",2021-10-28,"MMSD-P18",64,53,64,21
"742",2021-10-28,"Madison",288,282,239,161
"743",2021-10-29,"Madison",109,93,232,64
"744",2021-10-31,"Madison",298,84,329,302
"745",2021-11-01,"Madison",307,258,91,80
"746",2021-11-01,"MMSD-P2",69,14,73,9
"747",2021-11-01,"MMSD-P7",86,52,74,19
"748",2021-11-01,"MMSD-P8",75,51,86,83
"749",2021-11-01,"MMSD-P11",80,6,72,7
"750",2021-11-01,"MMSD-P18",52,51,84,63
"751",2021-11-02,"Madison",133,304,313,300
"752",2021-11-03,"Madison",87,188,93,291
"753",2021-11-04,"Madison",203,134,102,115
"754",2021-11-04,"MMSD-P2",89,89,87,85
"755",2021-11-04,"MMSD-P7",50,30,78,12
"756",2021-11-04,"MMSD-P8",45,79,15,78
"757",2021-11-04,"MMSD-P11",95,91,88,86
"758",2021-11-04,"MMSD-P18",54,21,42,44
"759",2021-11-05,"Madison",257,46,278,72
"760",2021-11-07,"Madison",345,278,321,111
"761",2021-11-08,"Madison",113,334,282,331
"762",2021-11-08,"MMSD-P2",14,65,11,34
"763",2021-11-08,"MMSD-P7",72,42,85,81
"764",2021-11-08,"MMSD-P8",17,16,20,17
"765",2021-11-08,"MMSD-P11",10,13,9,21
"766",2021-11-08,"MMSD-P18",84,70,61,67
"767",2021-11-09,"Madison",57,69,62,51
"768",2021-11-10,"Madison",322,180,342,327
"769",2021-11-11,"Madison",211,35,66,22
"770",2021-11-11,"MMSD-P2",38,7,62,13
"771",2021-11-11,"MMSD-P7",60,15,16,11
"772",2021-11-11,"MMSD-P8",80,3,81,3
"773",2021-11-11,"MMSD-P11",88,86,74,62
"774",2021-11-11,"MMSD-P18",35,5,38,8
"775",2021-11-12,"Madison",356,191,371,346
"776",2021-11-14,"Madison",200,311,47,141
"777",2021-11-15,"MMSD-P2",96,66,83,14
"778",2021-11-15,"MMSD-P7",87,1,86,1
"779",2021-11-15,"MMSD-P8",93,94,95,96
"780",2021-11-15,"MMSD-P18",100,94,97,93
"781",2021-11-16,"Madison",80,213,252,259
"782",2021-11-17,"Madison",178,9,134,12
"783",2021-11-18,"MMSD-P2",37,11,82,29
"784",2021-11-18,"MMSD-P7",101,101,96,96
"785",2021-11-18,"MMSD-P8",2,7,2,15
"786",2021-11-18,"MMSD-P11",15,8,33,10
"787",2021-11-18,"MMSD-P18",11,37,12,48
"788",2021-11-18,"Madison",382,358,381,357
"789",2021-11-19,"Madison",33,288,36,340
"790",2021-11-21,"Madison",103,330,53,262
"791",2021-11-22,"MMSD-P2",92,42,67,62
"792",2021-11-22,"MMSD-P7",1,7,1,24
"793",2021-11-22,"MMSD-P8",89,85,83,80
"794",2021-11-22,"MMSD-P11",93,12,85,22
"795",2021-11-22,"MMSD-P18",68,14,57,18
"796",2021-11-22,"Madison",61,23,131,29
"797",2021-11-23,"Madison",368,372,364,362
"798",2021-11-24,"Madison",19,14,31,21
"799",2021-11-25,"Madison",377,10,372,10
"800",2021-11-25,"MMSD-P2",61,83,34,89
"801",2021-11-25,"MMSD-P7",95,17,73,8
"802",2021-11-25,"MMSD-P8",11,82,18,87
"803",2021-11-25,"MMSD-P11",89,89,73,76
"804",2021-11-25,"MMSD-P18",91,9,87,7
"805",2021-11-26,"Madison",381,384,383,385
"806",2021-11-28,"Madison",7,357,8,341
"807",2021-11-29,"MMSD-P2",20,87,7,8
"808",2021-11-29,"MMSD-P7",85,11,89,10
"809",2021-11-29,"MMSD-P8",14,4,11,6
"810",2021-11-29,"MMSD-P18",96,99,98,99
"811",2021-11-30,"Madison",34,22,52,17
"812",2021-12-01,"Madison",369,370,376,353
"813",2021-12-02,"MMSD-P2",16,91,88,91
"814",2021-12-02,"MMSD-P7",91,96,87,90
"815",2021-12-02,"MMSD-P8",92,93,92,94
"816",2021-12-02,"MMSD-P11",12,10,19,16
"817",2021-12-02,"MMSD-P18",6,4,6,4
"818",2021-12-02,"Madison",21,27,40,308
"819",2021-12-03,"Madison",364,79,85,28
"820",2021-12-05,"Madison",312,367,365,371
"821",2021-12-06,"Madison",24,221,22,181
"822",2021-12-06,"MMSD-P2",12,86,5,88
"823",2021-12-06,"MMSD-P7",6,82,7,87
"824",2021-12-06,"MMSD-P8",3,6,4,9
"825",2021-12-06,"MMSD-P11",91,68,79,80
"826",2021-12-06,"MMSD-P18",101,101,101,100
"827",2021-12-07,"Madison",170,76,212,45
"828",2021-12-08,"Madison",315,354,348,374
"829",2021-12-09,"MMSD-P2",17,12,8,10
"830",2021-12-09,"MMSD-P7",20,93,10,86
"831",2021-12-09,"MMSD-P8",90,91,89,90
"832",2021-12-09,"MMSD-P11",33,90,15,85
"833",2021-12-09,"MMSD-P18",4,35,5,13
"834",2021-12-09,"Madison",37,21,19,19
"835",2021-12-10,"Madison",370,344,374,344
"836",2021-12-12,"Madison",47,6,49,8
"837",2021-12-13,"MMSD-P2",91,2,86,3
"838",2021-12-13,"MMSD-P7",9,4,11,6
"839",2021-12-13,"MMSD-P8",5,10,8,8
"840",2021-12-13,"MMSD-P11",11,4,10,3
"841",2021-12-13,"MMSD-P18",70,38,92,51
"842",2021-12-13,"Madison",385,383,385,381
"843",2021-12-14,"Madison",8,43,12,35
"844",2021-12-15,"Madison",348,18,358,15
"845",2021-12-16,"Madison",373,381,378,389
"846",2021-12-16,"MMSD-P2",101,99,93,93
"847",2021-12-16,"MMSD-P7",98,97,91,93
"848",2021-12-16,"MMSD-P8",86,92,90,95
"849",2021-12-16,"MMSD-P11",97,97,92,91
"850",2021-12-16,"MMSD-P18",67,89,54,94
"851",2021-12-17,"Madison",10,249,4,54
"852",2021-12-19,"Madison",142,112,339,298
"853",2021-12-20,"MMSD-P2",4,20,3,5
"854",2021-12-20,"MMSD-P7",5,5,4,5
"855",2021-12-20,"MMSD-P8",4,8,3,7
"856",2021-12-20,"MMSD-P11",4,3,4,2
"857",2021-12-20,"MMSD-P18",16,15,11,5
"858",2021-12-20,"Madison",279,369,95,348
"859",2021-12-21,"Madison",22,5,45,4
"860",2021-12-26,"Madison",386,363,389,75
"861",2021-12-27,"Madison",28,28,318,88
"862",2021-12-27,"MMSD-P2",83,4,91,1
"863",2021-12-27,"MMSD-P7",97,3,92,2
"864",2021-12-27,"MMSD-P8",88,2,91,4
"865",2021-12-27,"MMSD-P11",98,1,93,1
"866",2021-12-27,"MMSD-P18",90,1,100,1
"867",2021-12-28,"Madison",363,60,305,20
"868",2021-12-29,"Madison",331,8,373,6
"869",2022-01-02,"Madison",383,298,387,367
"870",2022-01-03,"MMSD-P2",99,1,95,2
"871",2022-01-03,"MMSD-P7",99,2,95,4
"872",2022-01-03,"MMSD-P8",94,74,94,82
"873",2022-01-03,"MMSD-P11",100,98,94,11
"874",2022-01-03,"MMSD-P18",104,92,104,98
"875",2022-01-03,"Madison",93,356,26,378
"876",2022-01-04,"Madison",35,2,15,2
"877",2022-01-05,"Madison",389,388,391,390
"878",2022-01-06,"MMSD-P2",102,102,94,95
"879",2022-01-06,"MMSD-P7",100,100,93,94
"880",2022-01-06,"MMSD-P8",22,5,16,5
"881",2022-01-06,"MMSD-P11",3,100,84,94
"882",2022-01-06,"MMSD-P18",13,103,7,104
"883",2022-01-06,"Madison",3,386,3,388
"884",2022-01-07,"Madison",5,351,5,343
"885",2022-01-09,"Madison",40,80,50,38
"886",2022-01-10,"MMSD-P2",1,3,1,4
"887",2022-01-10,"MMSD-P7",2,94,3,91
"888",2022-01-10,"MMSD-P8",91,78,93,2
"889",2022-01-10,"MMSD-P11",1,96,1,87
"890",2022-01-10,"MMSD-P18",2,90,1,47
"891",2022-01-10,"Madison",311,373,355,382
"892",2022-01-11,"Madison",18,29,11,16
"893",2022-01-12,"Madison",362,108,377,140
"894",2022-01-13,"MMSD-P2",100,101,92,94
"895",2022-01-13,"MMSD-P7",8,98,6,92
"896",2022-01-13,"MMSD-P8",18,95,96,97
"897",2022-01-13,"MMSD-P11",5,95,8,89
"898",2022-01-13,"MMSD-P18",15,93,58,96
"899",2022-01-13,"Madison",283,371,253,366
"900",2022-01-14,"Madison",20,54,27,84
"901",2022-01-16,"Madison",337,210,309,310
"902",2022-01-17,"MMSD-P2",2,22,2,86
"903",2022-01-17,"MMSD-P7",4,8,5,3
"904",2022-01-17,"MMSD-P8",1,71,1,93
"905",2022-01-17,"MMSD-P11",6,9,6,6
"906",2022-01-17,"MMSD-P18",12,6,9,6
"907",2022-01-17,"Madison",181,366,83,377
"908",2022-01-18,"Madison",25,305,16,43
"909",2022-01-19,"Madison",86,26,350,27
"910",2022-01-20,"MMSD-P2",81,79,10,67
"911",2022-01-20,"MMSD-P7",94,99,94,95
"912",2022-01-20,"MMSD-P8",25,1,5,1
"913",2022-01-20,"MMSD-P11",92,94,89,93
"914",2022-01-20,"MMSD-P18",99,100,99,101
"915",2022-01-20,"Madison",365,300,366,373
"916",2022-01-21,"Madison",91,1,20,1
"917",2022-01-23,"Madison",390,390,392,392
"918",2022-01-24,"MMSD-P2",24,108,29,108
"919",2022-01-24,"MMSD-P7",3,106,2,106
"920",2022-01-24,"MMSD-P8",95,107,97,107
"921",2022-01-24,"MMSD-P11",7,105,2,105
"922",2022-01-24,"MMSD-P18",5,105,4,105
"923",2022-01-24,"Madison",1,389,1,391
"924",2022-01-25,"Madison",2,393,2,393
