"","Date","Site","N1RankLeft","N1RankRight","N2RankLeft","N2RankRight","N1","N2","MaxN1Rank"
"77",2021-03-04,"MMSD-P18",91,27,81,16,276780,397412,-91
"78",2021-03-04,"MMSD-P7",71,58,71,49,36807,5188,-71
"79",2021-03-04,"MMSD-P2",8,8,18,19,315618,193299,-19
"80",2021-03-04,"MMSD-P8",65,83,31,38,44894,40565,-83
"81",2021-03-04,"MMSD-P11",23,24,26,20,124242,93449,-26
"82",2021-03-08,"MMSD-P2",100,89,89,84,96825,73766,-100
"83",2021-03-08,"MMSD-P7",48,42,57,54,40062,4104,-57
"84",2021-03-08,"MMSD-P8",24,19,69,63,98550,29216,-69
"85",2021-03-08,"MMSD-P11",81,53,85,45,25955,21489,-85
"86",2021-03-08,"MMSD-P18",78,50,89,63,159263,109232,-89
"87",2021-03-11,"MMSD-P2",19,10,24,16,213045,179284,-24
"88",2021-03-11,"MMSD-P7",64,40,52,48,31414,5541,-64
"89",2021-03-11,"MMSD-P8",88,46,44,30,17574,37059,-88
"90",2021-03-11,"MMSD-P11",52,46,60,61,28072,12563,-61
"91",2021-03-11,"MMSD-P18",55,47,42,41,157769,169086,-55
"92",2021-03-15,"MMSD-P18",58,69,64,81,154242,141705,-81
"93",2021-03-15,"MMSD-P2",98,76,92,76,23491,23324,-98
"94",2021-03-15,"MMSD-P7",66,70,58,68,20527,3648,-70
"95",2021-03-15,"MMSD-P8",61,70,77,77,15351,15143,-77
"96",2021-03-15,"MMSD-P11",59,76,44,78,25586,15965,-78
"97",2021-03-18,"MMSD-P2",32,34,32,28,71689,78640,-34
"98",2021-03-18,"MMSD-P7",36,45,38,65,47774,31682,-65
"99",2021-03-18,"MMSD-P8",37,61,30,52,41112,44765,-61
"100",2021-03-18,"MMSD-P11",29,39,27,28,90363,80875,-39
"101",2021-03-18,"MMSD-P18",36,24,24,23,221046,259514,-36
"102",2021-03-22,"MMSD-P2",74,65,80,68,41663,21141,-80
"103",2021-03-22,"MMSD-P7",61,54,41,42,43453,55333,-61
"104",2021-03-22,"MMSD-P8",46,28,55,29,51290,44260,-55
"105",2021-03-22,"MMSD-P11",66,28,77,32,74718,34380,-77
"106",2021-03-22,"MMSD-P18",81,89,82,83,87689,92614,-89
"107",2021-03-25,"MMSD-P2",43,63,40,67,59291,56691,-67
"108",2021-03-25,"MMSD-P7",52,37,64,34,44529,45130,-64
"109",2021-03-25,"MMSD-P8",79,73,78,81,17090,18383,-81
"110",2021-03-25,"MMSD-P11",77,74,73,77,16405,0,-77
"111",2021-03-25,"MMSD-P18",16,94,22,90,271618,233218,-94
"112",2021-03-29,"MMSD-P2",45,32,41,27,71570,85344,-45
"113",2021-03-29,"MMSD-P7",69,69,72,69,29674,11486,-72
"114",2021-03-29,"MMSD-P8",34,47,26,34,44411,57142,-47
"115",2021-03-29,"MMSD-P11",31,51,28,59,76079,57522,-59
"116",2021-03-29,"MMSD-P18",11,9,15,15,536692,478789,-15
"117",2021-04-01,"MMSD-P2",76,79,81,85,34632,23022,-85
"118",2021-04-01,"MMSD-P7",37,38,37,63,53741,40373,-63
"119",2021-04-01,"MMSD-P8",60,39,73,33,42261,41604,-73
"120",2021-04-01,"MMSD-P11",54,42,46,56,77135,59972,-56
"121",2021-04-01,"MMSD-P18",96,92,90,91,110980,141380,-96
"122",2021-04-05,"MMSD-P7",68,81,43,73,39358,57820,-81
"123",2021-04-05,"MMSD-P2",29,31,23,26,98501,139157,-31
"124",2021-04-05,"MMSD-P18",13,19,14,17,346465,395816,-19
"125",2021-04-05,"MMSD-P11",63,32,49,47,66083,59254,-63
"126",2021-04-05,"MMSD-P8",68,68,74,55,29459,24974,-74
"127",2021-04-08,"MMSD-P2",77,39,82,34,51447,64139,-82
"128",2021-04-08,"MMSD-P7",25,23,33,31,112758,105774,-33
"129",2021-04-08,"MMSD-P8",39,33,52,48,54259,25863,-52
"130",2021-04-08,"MMSD-P11",73,49,58,33,22656,51905,-73
"131",2021-04-08,"MMSD-P18",86,51,88,53,131422,112348,-88
"132",2021-04-12,"MMSD-P2",69,66,74,66,29847,21414,-74
"133",2021-04-12,"MMSD-P7",83,64,75,58,53955,57521,-83
"134",2021-04-12,"MMSD-P8",74,76,59,78,29219,23577,-78
"135",2021-04-12,"MMSD-P11",56,88,72,85,22490,21358,-88
"136",2021-04-12,"MMSD-P18",54,31,52,31,131038,139812,-54
"137",2021-04-15,"MMSD-P2",42,50,42,44,48521,48080,-50
"138",2021-04-15,"MMSD-P8",31,96,29,97,60518,54023,-97
"139",2021-04-15,"MMSD-P11",17,25,20,27,157424,126684,-27
"140",2021-04-19,"MMSD-P2",58,44,64,61,43766,33578,-64
"141",2021-04-19,"MMSD-P7",42,65,48,80,67391,67430,-80
"142",2021-04-19,"MMSD-P8",11,6,10,7,246023,271594,-11
"143",2021-04-19,"MMSD-P11",80,40,78,44,73487,78662,-80
"144",2021-04-22,"MMSD-P2",64,71,47,69,30641,48703,-71
"145",2021-04-22,"MMSD-P7",41,76,26,37,84980,137991,-76
"146",2021-04-22,"MMSD-P8",101,94,100,93,31792,27529,-101
"147",2021-04-22,"MMSD-P11",65,85,61,75,60726,67859,-85
"148",2021-04-22,"MMSD-P18",74,102,74,103,30603,44482,-103
"149",2021-04-26,"MMSD-P18",3,3,2,3,1761146,2270206,-3
"150",2021-04-26,"MMSD-P11",20,20,30,24,173731,121556,-30
"151",2021-04-26,"MMSD-P8",13,12,14,10,181856,194280,-14
"152",2021-04-26,"MMSD-P7",30,17,69,19,145908,109214,-69
"153",2021-04-26,"MMSD-P2",37,30,39,29,66599,84380,-39
"154",2021-04-29,"MMSD-P2",78,82,79,80,19439,33031,-82
"155",2021-04-29,"MMSD-P7",89,74,87,78,0,0,-89
"156",2021-04-29,"MMSD-P8",95,36,97,39,29385,24957,-97
"157",2021-04-29,"MMSD-P11",85,81,81,88,43437,58513,-88
"158",2021-04-29,"MMSD-P18",102,86,102,95,215296,200155,-102
"159",2021-05-03,"MMSD-P2",26,29,28,20,89840,111401,-29
"160",2021-05-03,"MMSD-P7",32,36,28,32,41135,52824,-36
"161",2021-05-03,"MMSD-P8",71,78,68,80,11622,14736,-80
"162",2021-05-03,"MMSD-P11",24,23,17,12,141403,175655,-24
"163",2021-05-03,"MMSD-P18",19,21,10,13,389772,571906,-21
"164",2021-05-06,"MMSD-P2",79,61,88,64,38159,10637,-88
"165",2021-05-06,"MMSD-P7",70,83,74,84,25735,15120,-84
"166",2021-05-06,"MMSD-P8",29,35,27,31,51840,46173,-35
"167",2021-05-06,"MMSD-P11",82,87,93,91,37231,20224,-93
"168",2021-05-06,"MMSD-P18",84,40,92,46,238017,193358,-92
"169",2021-05-10,"MMSD-P2",47,36,44,45,47752,31982,-47
"170",2021-05-10,"MMSD-P7",23,22,22,27,118893,99681,-27
"171",2021-05-10,"MMSD-P8",72,31,76,35,32158,25453,-76
"172",2021-05-10,"MMSD-P11",18,17,14,14,170237,150858,-18
"173",2021-05-10,"MMSD-P18",65,80,59,76,170739,184812,-80
"174",2021-05-13,"MMSD-P18",25,18,29,21,297646,283661,-29
"175",2021-05-13,"MMSD-P11",88,52,91,60,8923,12058,-91
"176",2021-05-13,"MMSD-P8",76,58,72,49,4831,10244,-76
"177",2021-05-13,"MMSD-P7",84,47,79,33,54837,42725,-84
"178",2021-05-13,"MMSD-P2",72,77,63,78,19951,23148,-78
"179",2021-05-17,"MMSD-P18",87,103,84,102,75768,90100,-103
"180",2021-05-17,"MMSD-P11",53,48,45,65,10363,15283,-65
"181",2021-05-17,"MMSD-P8",49,59,58,65,9403,9036,-65
"182",2021-05-17,"MMSD-P7",59,61,73,76,51354,7673,-76
"183",2021-05-17,"MMSD-P2",31,102,30,102,73534,86514,-102
"184",2021-05-20,"MMSD-P2",6,5,6,4,608010,676281,-6
"185",2021-05-20,"MMSD-P7",45,24,30,26,56388,58965,-45
"186",2021-05-20,"MMSD-P8",48,55,42,62,15247,17264,-62
"187",2021-05-20,"MMSD-P11",57,55,40,46,9997,29627,-57
"188",2021-05-20,"MMSD-P18",2,1,3,2,1945496,2297335,-3
"189",2021-05-24,"MMSD-P2",103,46,104,57,16713,0,-104
"190",2021-05-24,"MMSD-P7",82,60,80,64,5698,0,-82
"191",2021-05-24,"MMSD-P8",52,45,45,43,18813,24820,-52
"192",2021-05-24,"MMSD-P11",50,41,59,40,12358,21960,-59
"193",2021-05-24,"MMSD-P18",104,97,103,96,139794,183089,-104
"194",2021-05-27,"MMSD-P18",8,7,9,8,637101,676035,-9
"195",2021-05-27,"MMSD-P11",64,57,65,57.5,0,0,-65
"196",2021-05-27,"MMSD-P8",62,79,64,75,16073,19820,-79
"197",2021-05-27,"MMSD-P7",46,49,42,38,10666,18931,-49
"198",2021-05-27,"MMSD-P2",62,59,51,54,7049,10345,-62
"199",2021-05-31,"MMSD-P2",49,52,54,43,13114,15239,-54
"200",2021-05-31,"MMSD-P7",57,63,68,52,8117,0,-68
"201",2021-05-31,"MMSD-P8",28,24,32,24,58037,46865,-32
"202",2021-05-31,"MMSD-P11",48,73,47.5,66,3972,0,-73
"203",2021-05-31,"MMSD-P18",98,58,97,40,120744,168461,-98
"204",2021-06-03,"MMSD-P2",56,45,65,50,10940,0,-65
"205",2021-06-03,"MMSD-P7",43,44,54,62,18118,0,-62
"206",2021-06-03,"MMSD-P8",83,71,83,73,0,0,-83
"207",2021-06-03,"MMSD-P11",32,100,39,100,46406,16060,-100
"208",2021-06-03,"MMSD-P18",47,57,65,55,155967,140974,-65
"209",2021-06-07,"MMSD-P2",63,94,58,94,0,0,-94
"210",2021-06-07,"MMSD-P7",62,39,44,40,11044,14791,-62
"211",2021-06-07,"MMSD-P8",36,32,34,32,26005,20151,-36
"212",2021-06-07,"MMSD-P11",5,8,5,5,439420,591505,-8
"213",2021-06-07,"MMSD-P18",48,55,50,82,180133,171012,-82
"214",2021-06-10,"MMSD-P2",14,11,14,13,185594,242619,-14
"215",2021-06-10,"MMSD-P8",75,63,75,67,0,0,-75
"216",2021-06-10,"MMSD-P7",67,97,66,94,0,0,-97
"217",2021-06-10,"MMSD-P11",97,29,100,25,61066,65314,-100
"218",2021-06-10,"MMSD-P18",50,37,23,19,198437,304699,-50
"219",2021-06-14,"MMSD-P2",97,43,95,42,22821,24661,-97
"220",2021-06-14,"MMSD-P11",76,44,80,50,4231,4036,-80
"221",2021-06-14,"MMSD-P7",9,11,12,13,237837,183046,-13
"222",2021-06-14,"MMSD-P8",44,38,40,41,13212,8847,-44
"223",2021-06-14,"MMSD-P18",68,63,86,59,117539,97207,-86
"224",2021-06-17,"MMSD-P2",65,47,66,48,7891,6996,-66
"225",2021-06-17,"MMSD-P18",42,38,46,45,171090,143660,-46
"226",2021-06-17,"MMSD-P11",61,63,55,57.5,0,0,-63
"227",2021-06-17,"MMSD-P8",69,60,66,66,0,0,-69
