"","Date", "Site", "N1RankLeft", "N1RankRight", "N2RankLeft", "N2RankRight", "N1", "N2", "MaxN1Rank"
"88",2021-03-11,"MMSD-P7",461,221,459,334,31414,5541,-461
"89",2021-03-11,"MMSD-P8",310,299,197,200,17574,37059,-310
"90",2021-03-11,"MMSD-P11",232,435,331,454,28072,12563,-454
"91",2021-03-11,"MMSD-P18",96,254,77,191,157769,169086,-254
"92",2021-03-15,"MMSD-P18",277,97,340,101,154242,141705,-340
"93",2021-03-15,"MMSD-P2",434,256,430,210,23491,23324,-434
"94",2021-03-15,"MMSD-P7",275,247,321,296,20527,3648,-321
"95",2021-03-15,"MMSD-P8",284,298,235,265,15351,15143,-298
"96",2021-03-15,"MMSD-P11",233,363,266,382,25586,15965,-382
"97",2021-03-18,"MMSD-P2",168,202,149,168,71689,78640,-202
"98",2021-03-18,"MMSD-P7",329,243,363,302,47774,31682,-363
"99",2021-03-18,"MMSD-P8",288,368,229,346,41112,44765,-368
"100",2021-03-18,"MMSD-P11",163,437,185,465,90363,80875,-465
"101",2021-03-18,"MMSD-P18",94,73,66,58,221046,259514,-94
"102",2021-03-22,"MMSD-P2",458,273,473,343,41663,21141,-473
"103",2021-03-22,"MMSD-P7",258,291,188,225,43453,55333,-291
"104",2021-03-22,"MMSD-P8",240,328,306,228,51290,44260,-328
"105",2021-03-22,"MMSD-P11",203,303,303,376,74718,34380,-376
"106",2021-03-22,"MMSD-P18",228,195,155,179,87689,92614,-228
"107",2021-03-25,"MMSD-P2",336,217,352,223,59291,56691,-352
"108",2021-03-25,"MMSD-P7",314,196,308,192,44529,45130,-314
"109",2021-03-25,"MMSD-P8",335,266,339,212,17090,18383,-339
"110",2021-03-25,"MMSD-P11",265,486,319,480,16405,0,-486
"111",2021-03-25,"MMSD-P18",45,65,51,86,271618,233218,-86
"112",2021-03-29,"MMSD-P2",466,168,445,143,71570,85344,-466
"113",2021-03-29,"MMSD-P7",363,309,388,359,29674,11486,-388
"114",2021-03-29,"MMSD-P8",222,342,172,263,44411,57142,-342
"115",2021-03-29,"MMSD-P11",189,507,268,499,76079,57522,-507
"116",2021-03-29,"MMSD-P18",24,25,32,30,536692,478789,-32
"117",2021-04-01,"MMSD-P2",506,318,501,309,34632,23022,-506
"118",2021-04-01,"MMSD-P7",213,226,222,267,53741,40373,-267
"119",2021-04-01,"MMSD-P8",305,352,264,310,42261,41604,-352
"120",2021-04-01,"MMSD-P11",179,349,221,407,77135,59972,-407
"121",2021-04-01,"MMSD-P18",182,141,124,131,110980,141380,-182
"122",2021-04-05,"MMSD-P7",390,381,400,406,39358,57820,-406
"123",2021-04-05,"MMSD-P2",150,484,125,487,98501,139157,-487
"124",2021-04-05,"MMSD-P18",47,43,44,41,346465,395816,-47
"125",2021-04-05,"MMSD-P11",488,174,490,182,66083,59254,-490
"126",2021-04-05,"MMSD-P8",357,324,349,350,29459,24974,-357
"127",2021-04-08,"MMSD-P2",207,383,181,358,51447,64139,-383
"128",2021-04-08,"MMSD-P7",148,147,173,134,112758,105774,-173
"129",2021-04-08,"MMSD-P8",384,188,397,326,54259,25863,-397
"130",2021-04-08,"MMSD-P11",343,418,205,378,22656,51905,-418
"131",2021-04-08,"MMSD-P18",113,116,153,123,131422,112348,-153
"132",2021-04-12,"MMSD-P2",415,331,408,345,29847,21414,-415
"133",2021-04-12,"MMSD-P7",200,199,186,183,53955,57521,-200
"134",2021-04-12,"MMSD-P8",332,242,348,246,29219,23577,-348
"135",2021-04-12,"MMSD-P11",289,417,285,431,22490,21358,-431
"136",2021-04-12,"MMSD-P18",114,129,100,121,131038,139812,-129
"137",2021-04-15,"MMSD-P2",402,302,410,282,48521,48080,-410
