"","Date","Plant","Filter","Well","Type","name","value"
"74","2021-01-27","Hudson",3,1,"Normal","N2GC",34996.9953710558
"75","2021-01-27","Hudson",3,1,"Normal","PMMOVGC",7603271.75302492
"76","2021-01-27","Hudson",3,2,"Normal","N1GC",34069.8095576381
"77","2021-01-27","Hudson",3,2,"Normal","N2GC",24565.0022708831
"78","2021-01-27","Hudson",3,2,"Normal","PMMOVGC",8230417.36092123
"79","2021-01-27","Hudson",3,3,"Normal","N1GC",13510.4610240874
"80","2021-01-27","Hudson",3,3,"Normal","N2GC",19114.604646568
"81","2021-01-27","Hudson",3,3,"Normal","PMMOVGC",9223144.48994011
"82","2021-01-25","Kenosha",1,1,"Normal","N1GC",81545.1594746708
"83","2021-01-25","Kenosha",1,1,"Normal","N2GC",142756.858925113
"84","2021-01-25","Kenosha",1,1,"Normal","PMMOVGC",11007994.582166
"85","2021-01-25","Kenosha",1,2,"Normal","N1GC",130674.092809523
"86","2021-01-25","Kenosha",1,2,"Normal","N2GC",96173.5175978372
"87","2021-01-25","Kenosha",1,2,"Normal","PMMOVGC",14524961.9598167
"88","2021-01-25","Kenosha",1,3,"Normal","N1GC",85898.6729800446
"89","2021-01-25","Kenosha",1,3,"Normal","N2GC",79877.06895597
"90","2021-01-25","Kenosha",1,3,"Normal","PMMOVGC",15279887.383982
"91","2021-01-25","Kenosha",2,1,"Normal","N1GC",70948.7039240409
"92","2021-01-25","Kenosha",2,1,"Normal","N2GC",110588.464504026
"93","2021-01-25","Kenosha",2,1,"Normal","PMMOVGC",12574789.8153287
"94","2021-01-25","Kenosha",2,2,"Normal","N1GC",145113.882396341
"95","2021-01-25","Kenosha",2,2,"Normal","N2GC",92236.0518969401
"96","2021-01-25","Kenosha",2,2,"Normal","PMMOVGC",14671225.1716139
"97","2021-01-25","Kenosha",2,3,"Normal","N1GC",86817.7225511301
"98","2021-01-25","Kenosha",2,3,"Normal","N2GC",132360.814175956
"99","2021-01-25","Kenosha",2,3,"Normal","PMMOVGC",16913314.5353253
"100","2021-01-25","Kenosha",3,1,"Normal","N1GC",44693.2272494918
"101","2021-01-25","Kenosha",3,1,"Normal","N2GC",43464.1843643165
"102","2021-01-25","Kenosha",3,1,"Normal","PMMOVGC",11047682.0785493
"103","2021-01-25","Kenosha",3,2,"Normal","N1GC",53686.4509909533
"104","2021-01-25","Kenosha",3,2,"Normal","N2GC",45116.5693713792
"105","2021-01-25","Kenosha",3,2,"Normal","PMMOVGC",14123708.0179053
"106","2021-01-25","Kenosha",3,3,"Normal","N1GC",16027.911452727
"107","2021-01-25","Kenosha",3,3,"Normal","N2GC",39951.6046446277
"108","2021-01-25","Kenosha",3,3,"Normal","PMMOVGC",13216817.6733892
"109","2021-01-26","Kenosha",1,1,"Normal","N1GC",72063.9201351618
"110","2021-01-26","Kenosha",1,1,"Normal","N2GC",73116.6720813478
"111","2021-01-26","Kenosha",1,1,"Normal","PMMOVGC",17720612.0856185
"112","2021-01-26","Kenosha",1,2,"Normal","N1GC",76904.5439408138
"113","2021-01-26","Kenosha",1,2,"Normal","N2GC",57535.4297454713
"114","2021-01-26","Kenosha",1,2,"Normal","PMMOVGC",24855384.9538678
"115","2021-01-26","Kenosha",1,3,"Normal","N1GC",45941.111503088
"116","2021-01-26","Kenosha",1,3,"Normal","N2GC",47806.0531240532
"117","2021-01-26","Kenosha",1,3,"Normal","PMMOVGC",19984306.5190202
"118","2021-01-26","Kenosha",2,1,"Normal","N1GC",32858.9439292547
"119","2021-01-26","Kenosha",2,1,"Normal","N2GC",68643.8654010302
"120","2021-01-26","Kenosha",2,1,"Normal","PMMOVGC",17888159.0886804
"121","2021-01-26","Kenosha",2,2,"Normal","N1GC",33800.1667163598
"122","2021-01-26","Kenosha",2,2,"Normal","N2GC",34714.2792200671
"123","2021-01-26","Kenosha",2,2,"Normal","PMMOVGC",17956901.3697911
"124","2021-01-26","Kenosha",2,3,"Normal","N1GC",17363.0191748836
"125","2021-01-26","Kenosha",2,3,"Normal","N2GC",83066.8371982498
"126","2021-01-26","Kenosha",2,3,"Normal","PMMOVGC",16513907.2355868
"127","2021-01-26","Kenosha",3,1,"Normal","N1GC",61579.7129351798
"128","2021-01-26","Kenosha",3,1,"Normal","N2GC",91901.249773739
"129","2021-01-26","Kenosha",3,1,"Normal","PMMOVGC",26610446.3354215
"130","2021-01-26","Kenosha",3,2,"Normal","N1GC",52996.444585417
"131","2021-01-26","Kenosha",3,2,"Normal","N2GC",40953.56878333
"132","2021-01-26","Kenosha",3,2,"Normal","PMMOVGC",20491052.1684585
"133","2021-01-26","Kenosha",3,3,"Normal","N1GC",58576.5938289518
"134","2021-01-26","Kenosha",3,3,"Normal","N2GC",79231.1645602729
"135","2021-01-26","Kenosha",3,3,"Normal","PMMOVGC",22291489.4456261
"136","2021-01-27","Kenosha",1,1,"Normal","N1GC",21398.500726938
"137","2021-01-27","Kenosha",1,1,"Normal","N2GC",61591.0587808513
"138","2021-01-27","Kenosha",1,1,"Normal","PMMOVGC",7130689.46784936
